Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"124,91 M","239,26 M","284,37 M","255,55 M","194,51 M","280,04 M","295,37 M","319,13 M","258,16 M","266,81 M","323,90 M","217,85 M","222,44 M","238,95 M","198,56 M","500,66 M","183,65 M","258,35 M","287,99 M","258,11 M","243,85 M","261,13 M","238,56 M","215,51 M","253,91 M","283,14 M","265,63 M","221,23 M","220,39 M","273,91 M","299,17 M","303,77 M","318,92 M","362,62 M","373,41 M","404,84 M","351,87 M","400,39 M","349,59 M","379,45 M","415,35 M","522,16 M","556,16 M","582,51 M",0,"560,99 M","505,88 M","419,42 M",0,"269,30 M","193,47 M","174,27 M","205,99 M","247,36 M","207,47 M","190,85 M","188,86 M","213,72 M","172,85 M","141,48 M","167,37 M","151,25 M","141,81 M","124,51 M","128,30 M"
Custos,"-95,59 M","-174,98 M","-187,85 M","-206,12 M","-127,05 M","-180,21 M","-208,08 M","-241,26 M","-198,00 M","-187,51 M","-224,39 M","-206,49 M","-213,79 M","-219,39 M","-221,62 M","-190,47 M","-157,65 M","-230,66 M","-182,90 M","-261,47 M","-239,44 M","-245,60 M","-231,03 M","-196,14 M","-208,46 M","-247,77 M","-222,97 M","-198,22 M","-205,65 M","-228,95 M","-206,54 M","-206,69 M","-199,72 M","-235,58 M","-219,51 M","-335,20 M","-235,66 M","-251,95 M","-224,53 M","-256,56 M","-271,38 M","-387,56 M","-387,29 M","-439,88 M",0,"-482,66 M","-353,75 M","-309,92 M",0,"-173,83 M","-106,64 M","-113,79 M","-119,47 M","-179,20 M","-146,63 M","-152,60 M","-136,76 M","-133,08 M","-108,92 M","-91,16 M","-103,64 M","-95,04 M","-89,63 M","-82,57 M","-75,22 M"
Lucro bruto,"29,32 M","64,28 M","96,53 M","49,43 M","67,46 M","99,83 M","87,28 M","77,87 M","60,16 M","79,31 M","99,51 M","11,36 M","8,65 M","19,56 M","-23,06 M","310,19 M","25,99 M","27,69 M","105,09 M","-3,37 M","4,41 M","15,53 M","7,53 M","19,37 M","45,45 M","35,37 M","42,67 M","23,01 M","14,74 M","44,96 M","92,63 M","97,08 M","119,19 M","127,04 M","153,90 M","69,64 M","116,21 M","148,45 M","125,06 M","122,90 M","143,97 M","134,60 M","168,88 M","142,62 M",0,"78,33 M","152,13 M","109,50 M",0,"95,47 M","86,83 M","60,48 M","86,53 M","68,16 M","60,84 M","38,26 M","52,10 M","80,64 M","63,93 M","50,32 M","63,72 M","56,22 M","52,19 M","41,94 M","53,08 M"
Despesas operacionais,"-22,34 M","-602,78 M","-59,21 M","-33,53 M","-68,98 M","-264,68 M","-29,21 M","-25,40 M","-27,53 M","-201,23 M","-30,89 M","-27,28 M","-33,32 M","-167,02 M","-26,56 M","-23,50 M","-20,49 M","-10,49 M","-27,50 M","-18,68 M","-31,42 M","230,48 M","-40,65 M","-20,49 M","-25,92 M","9,13 M","-55,92 M","-51,40 M","-31,76 M","-239,40 M","-87,95 M","-89,92 M","-27,13 M","798,80 M","-393,63 M","-381,47 M","-43,48 M","-45,70 M","-46,47 M","-31,38 M","-46,35 M","79,16 M","-26,65 M","-46,27 M",0,"-646,58 M","-1,69 M","-12,09 M",0,"-1,03 M","-12,37 M","-27,40 M","3,44 M","488,27 M","-32,93 M","-33,27 M","-11,01 M","-16,19 M","-46,65 M","-36,20 M","-26,71 M","-23,58 M","-16,69 M","-21,73 M","-16,15 M"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despesas administrativas,"-22,34 M","-434,14 M","-59,21 M","-33,53 M","-68,98 M","-84,43 M","-29,21 M","-25,40 M","-27,53 M","-35,68 M","-30,89 M","-27,28 M","-33,32 M","10,97 M","-33,19 M","-35,26 M","-30,14 M","-41,64 M","-36,17 M","-35,16 M","-39,52 M","-38,10 M","-35,23 M","-25,11 M","-32,56 M","-50,66 M","-34,54 M","-46,06 M","-31,20 M","-45,31 M","-48,85 M","-57,36 M","-41,71 M","-79,61 M","-52,02 M","-44,27 M","-43,42 M","-49,68 M","-45,84 M","-44,69 M","-46,32 M","-55,49 M","-36,54 M","-41,80 M",--,"-38,58 M","-34,45 M","-26,66 M",--,"-35,35 M","-27,12 M","-31,27 M","-22,79 M","-28,47 M","-26,06 M","-29,25 M","-24,46 M","-27,20 M","-28,91 M","-36,25 M","-27,51 M","-25,86 M","-23,53 M","-20,34 M","-19,42 M"
EBIT,"6,98 M","-538,50 M","37,31 M","15,90 M","-1,52 M","-164,85 M","58,07 M","52,46 M","32,63 M","-121,93 M","68,62 M","-15,92 M","-24,67 M","-147,46 M","-49,62 M","286,69 M","5,51 M","17,19 M","77,59 M","-22,05 M","-27,02 M","246,01 M","-33,12 M","-1,12 M","19,53 M","44,50 M","-13,25 M","-28,39 M","-17,02 M","-194,44 M","4,68 M","7,16 M","92,07 M","925,84 M","-239,73 M","-311,83 M","72,73 M","102,75 M","78,60 M","91,52 M","97,63 M","213,76 M","142,23 M","96,35 M",0,"-568,25 M","150,44 M","97,41 M",0,"94,44 M","74,46 M","33,09 M","89,97 M","556,43 M","27,91 M","4,98 M","41,09 M","64,45 M","17,28 M","14,12 M","37,02 M","32,63 M","35,49 M","20,21 M","36,93 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-26,42 M","132,51 M","-38,29 M","-48,73 M","-30,24 M","123,33 M","-49,66 M","-35,22 M","-38,46 M","130,92 M","-31,38 M","-45,66 M","-53,88 M","135,59 M","-14,86 M","-76,55 M","-44,19 M","-54,87 M","-348,23 M","-7,58 M","-47,53 M","75,10 M","-44,28 M","-8,87 M","-36,44 M","-59,15 M","-88,55 M","-86,07 M","-78,76 M","-122,64 M","-79,64 M","-79,30 M","-66,33 M","-248,26 M","-95,19 M","-147,83 M","-195,40 M","-190,27 M","-130,31 M","-133,20 M","-135,07 M","-219,29 M","-119,03 M","-132,82 M",0,"-127,71 M","-57,81 M","-58,73 M",0,"-47,66 M","-30,13 M","-34,87 M","-37,56 M","-52,77 M","-37,15 M","-28,82 M","-35,20 M","-35,23 M","-45,13 M","-23,00 M","-24,39 M","-22,07 M","-23,84 M","-20,81 M","-23,80 M"
Antes dos impostos,"-19,44 M","-405,99 M","-974,00 Mil","-32,82 M","-31,76 M","-41,52 M","8,41 M","17,24 M","-5,83 M","8,99 M","37,25 M","-61,58 M","-78,55 M","-11,87 M","-64,48 M","210,14 M","-38,68 M","-37,68 M","-270,64 M","-29,63 M","-74,54 M","321,11 M","-77,40 M","-10,00 M","-16,92 M","-14,65 M","-101,80 M","-114,46 M","-95,77 M","-317,08 M","-74,96 M","-72,15 M","25,73 M","677,58 M","-334,92 M","-459,66 M","-122,67 M","-87,52 M","-51,71 M","-41,68 M","-37,44 M","-5,53 M","23,20 M","-36,47 M",0,"-695,96 M","92,63 M","38,69 M",0,"46,78 M","44,34 M","-1,78 M","52,40 M","503,65 M","-9,23 M","-23,84 M","5,89 M","29,23 M","-27,85 M","-8,88 M","12,63 M","10,57 M","11,66 M","-597,00 Mil","13,13 M"
