Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"6,98 M","4,92 M","6,53 M","7,13 M","8,93 M","3,81 M","5,70 M","7,58 M","11,39 M","13,40 M","12,41 M","14,64 M","13,53 M","15,90 M","17,31 M","23,79 M","25,44 M","28,70 M","25,21 M","23,24 M","14,46 M","14,16 M","14,84 M","7,85 M","3,27 M"
Custos,"-4,44 M","-4,09 M","-4,89 M","-5,62 M","-7,67 M","-4,37 M","-4,21 M","-7,06 M","-9,15 M","-8,97 M","-9,39 M","-10,86 M","-10,66 M","-10,75 M","-10,54 M","-9,86 M","-12,29 M","-11,87 M","-11,17 M","-8,90 M","-3,69 M","-2,29 M","-1,97 M","-1,25 M","-808,00 Mil"
Lucro bruto,"2,54 M","824,00 Mil","1,64 M","1,52 M","1,26 M","-561,00 Mil","1,50 M","517,00 Mil","2,24 M","4,43 M","3,03 M","3,78 M","2,86 M","5,14 M","6,77 M","13,94 M","13,14 M","16,83 M","14,04 M","14,34 M","10,77 M","11,88 M","12,88 M","6,60 M","2,46 M"
Despesas operacionais,"-13,22 M","-72,94 M","-11,22 M","-3,38 M","-11,97 M","-35,53 M","-17,66 M","-26,14 M","-14,64 M","-157,90 M","-8,67 M","-23,45 M","-25,26 M","-34,82 M","-33,75 M","-28,38 M","-32,84 M","-34,64 M","-20,78 M","-18,59 M","-8,78 M","-8,76 M","-4,05 M","-1,82 M","-1,12 M"
Despesas com vendas,"-642,00 Mil","-380,00 Mil","-842,00 Mil","-1,45 M","-1,35 M","-990,00 Mil","-1,74 M","-1,45 M","-2,21 M","-3,13 M","-3,42 M","-4,76 M","-3,95 M","-5,68 M","-6,51 M","-7,90 M","-6,62 M","-8,33 M","-3,35 M","-4,34 M","-2,40 M","-4,26 M","-1,18 M","-350,00 Mil","-271,00 Mil"
Despesas administrativas,"-13,01 M","-29,23 M","-11,99 M","-9,84 M","-10,42 M","-10,88 M","-13,64 M","-14,27 M","-12,41 M","-18,58 M","-13,22 M","-18,04 M","-21,08 M","-23,64 M","-25,66 M","-21,50 M","-25,60 M","-31,41 M","-16,61 M","-12,04 M","-6,38 M","-4,50 M","-2,87 M","-1,47 M","-853,00 Mil"
EBIT,"-10,69 M","-72,11 M","-9,58 M","-1,87 M","-10,71 M","-36,09 M","-16,17 M","-25,62 M","-12,40 M","-153,47 M","-5,64 M","-19,67 M","-22,40 M","-29,67 M","-26,98 M","-14,44 M","-19,70 M","-17,81 M","-6,74 M","-4,25 M","1,99 M","3,11 M","8,82 M","4,78 M","1,34 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"179,00 Mil","-151,00 Mil","5,80 M","2,04 M","251,00 Mil","1,08 M","635,00 Mil","586,00 Mil","1,48 M","-185,00 Mil","-1,35 M","7,64 M","-8,67 M","-5,33 M","14,00 Mil","11,09 M","-9,36 M","6,28 M","3,72 M","-240,00 Mil","-153,00 Mil","-168,00 Mil","-61,00 Mil","-13,00 Mil","1,00 Mil"
Antes dos impostos,"-10,51 M","-72,26 M","-3,77 M","177,00 Mil","-10,46 M","-35,01 M","-15,53 M","-25,04 M","-10,92 M","-153,65 M","-6,99 M","-12,03 M","-31,07 M","-35,01 M","-26,96 M","-3,35 M","-29,06 M","-11,53 M","-3,03 M","-4,49 M","1,84 M","2,94 M","8,76 M","4,77 M","1,34 M"
Imposto,"-251,00 Mil","215,00 Mil","-73,00 Mil","-266,00 Mil","-249,00 Mil","-114,00 Mil","-706,00 Mil","-7,00 Mil","-622,00 Mil","-35,97 M","-1,82 M","-1,29 M","-987,00 Mil","-5,40 M","8,87 M","261,00 Mil","8,66 M","2,33 M","14,46 M","2,29 M","-672,00 Mil","-1,64 M","-1,73 M","-908,00 Mil","-375,00 Mil"
Op. continuadas,"-10,76 M","-72,05 M","-3,85 M","-89,00 Mil","-10,71 M","-35,13 M","-16,24 M","-25,04 M","-11,55 M","-189,62 M","-8,81 M","-13,33 M","-32,05 M","-40,41 M","-18,09 M","-3,08 M","-20,39 M","-9,20 M","11,44 M","-2,20 M","1,17 M","1,30 M","7,03 M","3,86 M","964,00 Mil"
Op. descontinuadas,0,"758,00 Mil",0,"321,00 Mil",0,"2,11 M",0,"1,02 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"-10,76 M","-71,29 M","-3,85 M","232,00 Mil","-10,71 M","-33,02 M","-16,24 M","-24,03 M","-11,55 M","-189,62 M","-8,81 M","-13,33 M","-32,05 M","-40,41 M","-18,09 M","-3,08 M","-20,39 M","-9,20 M","11,44 M","-2,20 M","1,17 M","1,30 M","7,03 M","3,86 M","964,00 Mil"
Dos controladores,"-10,99 M","101,93 M","-3,34 M","-425,00 Mil","-11,59 M","-34,17 M","-15,95 M","-24,94 M","-11,46 M","-189,41 M","-8,69 M","-13,15 M","-32,02 M","-40,49 M","-18,24 M","-3,14 M","-20,39 M","-10,40 M","11,44 M","-2,20 M","1,17 M","-11,86 M","7,03 M","3,86 M","964,00 Mil"
Dos não controladores,"232,00 Mil","-566,00 Mil","-511,00 Mil","336,00 Mil","879,00 Mil","-953,00 Mil","-285,00 Mil","-107,00 Mil","-84,00 Mil","-215,00 Mil","-128,00 Mil","-179,00 Mil","-33,00 Mil","84,00 Mil","149,00 Mil","55,00 Mil","-2,00 Mil",0,0,0,0,0,0,0,0
