Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"3,33 B","3,43 B","3,50 B","3,29 B","3,12 B","3,04 B","2,76 B","2,77 B","2,82 B","2,76 B","2,70 B","2,68 B","2,60 B","2,58 B","2,30 B","2,31 B","2,29 B","2,34 B","2,32 B","2,24 B","2,17 B","2,18 B","1,94 B","1,96 B","1,87 B","1,80 B","1,69 B","1,25 B","1,17 B","1,09 B","1,05 B","1,03 B","965,33 M","939,49 M","888,58 M","848,50 M","855,02 M","871,07 M","888,76 M","855,33 M","928,03 M","959,65 M","980,20 M","982,17 M","988,62 M","1,10 B","1,05 B","1,13 B","1,13 B","1,24 B","1,30 B","1,52 B","1,53 B","1,65 B","1,48 B","1,58 B","1,60 B","1,66 B","1,68 B","1,81 B","1,81 B","1,80 B","1,08 B"
Ativo circulante,"2,78 B","2,92 B","3,01 B","2,86 B","2,62 B","2,27 B","2,11 B","2,07 B","2,15 B","2,06 B","2,03 B","1,99 B","1,90 B","1,69 B","1,43 B","1,58 B","1,66 B","1,57 B","1,76 B","1,76 B","1,61 B","1,68 B","1,33 B","1,37 B","1,43 B","1,43 B","1,47 B","1,05 B","913,05 M","848,85 M","851,44 M","752,02 M","676,20 M","669,53 M","584,55 M","558,88 M","565,99 M","597,06 M","628,45 M","605,08 M","669,28 M","734,99 M","729,59 M","719,89 M","705,35 M","812,46 M","721,38 M","821,80 M","841,19 M","964,30 M","987,82 M","1,22 B","1,27 B","1,37 B","1,29 B","1,37 B","1,40 B","1,22 B","1,34 B","1,48 B","1,46 B","1,48 B","870,28 M"
Caixa e eq. de caixa,"507,57 M","526,80 M","578,56 M","549,75 M","510,55 M","449,77 M","381,85 M","269,60 M","311,28 M","362,01 M","252,51 M","277,68 M","277,43 M","310,36 M","226,91 M","325,51 M","315,65 M","387,51 M","394,19 M","374,55 M","386,90 M","478,72 M","304,63 M","367,56 M","405,05 M","488,06 M","531,93 M","142,71 M","114,93 M","99,44 M","90,24 M","74,39 M","98,81 M","89,71 M","71,19 M","27,65 M","26,94 M","23,76 M","28,51 M","21,67 M","41,52 M","42,61 M","49,13 M","40,31 M","54,34 M","134,14 M","56,19 M","117,03 M","65,21 M","135,81 M","95,88 M","211,27 M","101,96 M","155,01 M","136,25 M","161,41 M","150,41 M","143,84 M","102,56 M","188,38 M","189,03 M","247,88 M","137,80 M"
Aplicações financeiras,"5,12 M","14,76 M","13,49 M","17,42 M","12,09 M","20,38 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"45,66 M","47,22 M","63,22 M","65,32 M","82,97 M","104,55 M","94,01 M",0
Contas a receber,"947,40 M","991,53 M","961,74 M","913,71 M","860,21 M","786,44 M","702,62 M","755,00 M","731,77 M","669,07 M","687,11 M","632,03 M","532,18 M","437,20 M","269,63 M","288,55 M","318,21 M","370,85 M","448,19 M","488,09 M","492,70 M","518,17 M","421,73 M","443,80 M","417,32 M","394,05 M","417,94 M","380,33 M","367,72 M","313,28 M","374,31 M","287,08 M","247,28 M","234,43 M","194,84 M","186,56 M","209,50 M","218,51 M","231,62 M","247,47 M","320,16 M","362,62 M","364,37 M","346,89 M","332,02 M","341,64 M","330,22 M","383,85 M","460,53 M","542,61 M","615,42 M","762,45 M","879,19 M","889,02 M","860,77 M","875,00 M","890,53 M","698,91 M","899,25 M","911,26 M","862,02 M","847,86 M","524,39 M"
Estoques,"1,29 B","1,37 B","1,44 B","1,37 B","1,22 B","996,89 M","1,01 B","1,03 B","1,10 B","1,02 B","1,08 B","1,07 B","1,09 B","940,00 M","930,00 M","959,14 M","1,02 B","801,69 M","901,08 M","886,67 M","722,37 M","673,22 M","593,62 M","547,58 M","595,00 M","534,06 M","494,31 M","502,93 M","419,42 M","425,66 M","376,88 M","381,65 M","318,42 M","336,07 M","309,49 M","334,43 M","320,40 M","346,25 M","357,74 M","324,61 M","295,59 M","318,45 M","306,50 M","321,45 M","309,19 M","318,17 M","315,40 M","301,51 M","295,78 M","263,54 M","261,02 M","239,48 M","270,78 M","299,97 M","275,31 M","270,14 M","278,88 M","280,24 M","243,09 M","268,24 M","277,49 M","271,01 M","190,31 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"556,51 M","515,91 M","486,17 M","429,69 M","499,34 M","776,48 M","650,59 M","700,48 M","669,44 M","694,59 M","667,68 M","688,93 M","698,21 M","880,84 M","869,71 M","726,30 M","633,09 M","768,93 M","565,27 M","474,67 M","556,03 M","496,07 M","607,04 M","587,95 M","439,28 M","370,27 M","222,98 M","193,88 M","258,44 M","238,24 M","201,15 M","276,37 M","289,12 M","269,96 M","304,03 M","289,62 M","289,03 M","274,00 M","260,31 M","250,25 M","258,75 M","224,66 M","250,60 M","262,28 M","283,27 M","290,13 M","323,88 M","305,22 M","290,99 M","274,23 M","312,56 M","292,53 M","266,64 M","286,21 M","180,87 M","202,78 M","203,81 M","445,26 M","346,62 M","329,66 M","357,81 M","318,24 M","213,21 M"
Investimentos,"133,63 M","128,56 M","115,45 M","113,72 M","114,92 M","129,77 M","134,67 M","139,03 M","156,45 M","186,23 M","156,92 M","143,95 M","136,90 M","101,54 M","63,29 M","62,93 M","60,59 M","64,34 M","82,30 M","60,06 M","61,68 M","65,00 M","64,11 M","64,23 M","58,41 M","53,42 M","36,98 M","34,94 M","31,28 M","24,57 M","23,64 M","25,54 M","24,15 M","24,36 M","23,99 M","23,60 M","22,78 M","20,12 M","17,20 M","23,18 M","23,66 M","24,55 M","32,73 M","36,88 M","36,95 M","40,09 M","49,31 M","52,73 M","55,43 M","55,87 M","61,58 M","60,28 M","64,11 M","70,69 M",0,0,0,0,0,0,0,0,0
Imobilizado,"72,53 M","70,07 M","65,03 M","53,56 M","56,51 M","56,73 M","56,16 M","51,61 M","53,96 M","85,94 M","87,80 M","88,68 M","92,15 M","96,50 M","92,22 M","24,24 M","24,74 M","26,90 M","23,89 M","24,26 M","20,30 M","18,77 M","17,00 M","17,56 M","17,38 M","16,37 M","12,03 M","11,52 M","10,34 M","7,73 M","6,92 M","7,16 M","7,92 M","8,11 M","8,22 M","8,43 M","8,71 M","8,43 M","8,71 M","8,10 M","6,59 M","6,78 M","5,25 M","6,32 M","7,07 M","8,39 M","7,83 M","9,30 M","10,84 M","11,80 M","12,06 M","11,98 M","11,53 M","12,34 M","11,89 M","10,19 M","11,21 M","12,33 M","14,21 M","14,98 M","16,47 M","17,37 M","17,89 M"
