Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,87","5,70","6,89","6,47","5,47","7,66","6,67","8,19","10,19","57,99","8,51","11,29","9,95","11,84","-4,50","7,81","9,47"
P/VP,"0,97","0,67","0,63","0,35","0,54","1,12","0,89","1,05","0,68","0,30","0,32","0,45","0,60","0,66","0,39","0,61","1,05"
P/EBIT,"6,72","4,88","5,25","3,85","4,16","6,54","5,48","6,38","6,70","11,56","4,32","4,96","4,09","3,41","8,41","3,43","6,27"
P/EBIT *,"7,38","5,42","9,61","4,70","4,37","7,40","5,80","6,87","7,83","25,04","4,72","5,30","5,73","4,20","6,56","3,01","5,93"
PSR,"1,02","0,73","0,82","0,58","0,85","1,48","1,17","1,08","0,81","0,50","0,43","0,62","0,59","0,48","0,23","0,39","0,87"
P/Ativos,"0,41","0,32","0,31","0,17","0,28","0,60","0,52","0,54","0,38","0,17","0,17","0,21","0,25","0,20","0,11","0,17","0,45"
LPA,"0,84","0,71","0,51","0,28","0,50","0,70","0,58","0,30","0,14","0,01","0,08","0,08","0,13","0,11","-0,17","0,16","0,21"
VPA,"5,97","6,01","5,55","5,20","5,03","4,79","4,31","2,31","2,15","2,08","2,10","2,11","2,10","2,00","1,91","2,07","1,91"
EBIT por ação,"0,86","0,83","0,67","0,47","0,65","0,82","0,70","0,38","0,22","0,05","0,16","0,19","0,31","0,39","0,09","0,37","0,32"
EBIT por ação *,"0,78","0,74","0,37","0,39","0,62","0,73","0,66","0,35","0,19","0,02","0,14","0,18","0,22","0,32","0,11","0,42","0,34"
Ativo por ação,"14,15","12,54","11,37","10,61","9,65","8,97","7,41","4,48","3,87","3,59","3,96","4,54","5,10","6,82","6,86","7,42","4,47"
Receita líquida por ação,"5,68","5,55","4,31","3,13","3,19","3,62","3,29","2,25","1,82","1,25","1,56","1,53","2,14","2,77","3,22","3,24","2,31"
Margem bruta,"29,34%","27,83%","23,36%","29,63%","36,67%","35,26%","35,70%","32,68%","28,56%","28,63%","29,07%","34,29%","26,99%","24,47%","15,65%","25,61%","30,56%"
Margem líquida,"15,46%","12,98%","12,44%","9,17%","17,05%","20,89%","18,91%","14,12%","8,03%","0,95%","6,53%","10,41%","11,38%","9,39%","-4,93%","5,09%","9,17%"
Margem EBIT,"15,10%","14,87%","15,54%","15,01%","20,49%","22,65%","21,33%","16,95%","12,05%","4,30%","9,91%","12,43%","14,36%","14,07%","2,77%","11,34%","13,88%"
Margem EBIT *,"13,75%","13,39%","8,49%","12,29%","19,49%","20,03%","20,17%","15,73%","10,32%","1,99%","9,07%","11,62%","10,26%","11,44%","3,55%","12,91%","14,67%"
Margem EBITDA,"15,37%","15,13%","16,06%","15,21%","20,65%","22,74%","21,48%","17,17%","12,29%","4,72%","10,27%","13,04%","14,77%","14,50%","3,72%","11,66%","14,23%"
Margem EBITDA *,"14,03%","13,64%","9,01%","12,49%","19,65%","20,12%","20,32%","15,96%","10,56%","2,40%","9,42%","12,24%","10,68%","11,87%","4,50%","13,23%","15,01%"
Margem operacional,"18,36%","15,56%","15,13%","12,04%","19,30%","22,93%","21,07%","16,41%","10,19%","3,09%","8,70%","13,26%","13,65%","12,35%","-1,22%","8,79%","12,12%"
ROE,"14,42%","11,75%","9,36%","5,33%","10,38%","15,14%","13,82%","12,82%","6,47%","0,55%","4,54%","6,75%","9,88%","10,75%","-8,23%","7,87%","11,10%"
ROA,"0,06","0,06","0,05","0,03","0,06","0,08","0,08","0,07","0,04","0,00","0,03","0,03","0,05","0,04","-0,02","0,02","0,05"
ROIC,"7,32%","7,99%","6,91%","5,14%","8,32%","12,09%","13,37%","9,65%","6,45%","1,57%","4,17%","4,84%","6,91%","6,43%","1,52%","6,26%","8,44%"
ROIC *,"6,67%","7,19%","3,78%","4,21%","7,91%","10,69%","12,64%","8,95%","5,52%","0,72%","3,82%","4,53%","4,94%","5,23%","1,95%","7,13%","8,92%"
Giro do ativo,"0,40","0,44","0,38","0,30","0,33","0,40","0,44","0,50","0,47","0,35","0,40","0,34","0,42","0,41","0,47","0,44","0,52"
EBIT *,189 mi,180 mi,88 mi,93 mi,150 mi,176 mi,161 mi,85 mi,45 mi,6 mi,34 mi,43 mi,53 mi,76 mi,27 mi,101 mi,82 mi
EBITDA,211 mi,203 mi,168 mi,115 mi,159 mi,199 mi,171 mi,93 mi,54 mi,14 mi,38 mi,48 mi,76 mi,97 mi,29 mi,91 mi,79 mi
EBITDA *,193 mi,183 mi,94 mi,94 mi,152 mi,176 mi,162 mi,86 mi,46 mi,7 mi,35 mi,45 mi,55 mi,79 mi,35 mi,103 mi,84 mi
Liquidez corrente,"2,97","4,74","2,69","4,00","3,51","3,68","3,15","2,59","2,87","2,54","2,58","2,43","2,14","1,80","1,79","2,39","3,54"
