Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"343,17 M","440,34 M","372,60 M","293,67 M","271,98 M","418,92 M","306,52 M","318,51 M","302,75 M","283,22 M","253,18 M","267,08 M","243,21 M","203,94 M","182,28 M","209,85 M","164,20 M","170,82 M","190,23 M","210,90 M","202,21 M","252,79 M","254,70 M","200,17 M","171,30 M","214,96 M","218,41 M","184,34 M","180,97 M","148,01 M","153,36 M","122,89 M","120,99 M","124,77 M","121,60 M","98,75 M","96,55 M","71,50 M","93,68 M","59,16 M","78,12 M","88,01 M","120,11 M","87,72 M","83,72 M","93,74 M","88,52 M","87,83 M","99,94 M","112,52 M","106,35 M","142,23 M","158,99 M","153,47 M","155,44 M","174,36 M","189,21 M","182,64 M","206,21 M","192,94 M","200,50 M","180,40 M","220,47 M","209,04 M","175,99 M"
Custos,"-255,69 M","-320,30 M","-266,02 M","-204,50 M","-183,25 M","-291,07 M","-213,86 M","-239,11 M","-227,87 M","-220,19 M","-194,64 M","-203,29 M","-184,04 M","-152,74 M","-126,96 M","-143,86 M","-111,48 M","-115,66 M","-117,55 M","-133,13 M","-123,96 M","-159,88 M","-167,39 M","-133,88 M","-107,87 M","-131,65 M","-138,68 M","-119,83 M","-123,42 M","-96,95 M","-100,15 M","-86,54 M","-83,42 M","-81,08 M","-87,32 M","-72,28 M","-74,87 M","-49,17 M","-65,28 M","-44,03 M","-57,38 M","-60,95 M","-88,14 M","-59,66 M","-60,47 M","-61,08 M","-57,85 M","-60,23 M","-63,97 M","-80,01 M","-73,08 M","-106,00 M","-120,62 M","-112,18 M","-105,52 M","-134,34 M","-150,01 M","-145,49 M","-158,74 M","-186,56 M","-169,06 M","-156,36 M","-155,32 M","-151,69 M","-121,27 M"
Lucro bruto,"87,48 M","120,04 M","106,58 M","89,17 M","88,74 M","127,85 M","92,66 M","79,40 M","74,88 M","63,03 M","58,54 M","63,78 M","59,17 M","51,21 M","55,32 M","65,99 M","52,72 M","55,17 M","72,68 M","77,77 M","78,25 M","92,91 M","87,31 M","66,29 M","63,43 M","83,30 M","79,73 M","64,51 M","57,55 M","51,06 M","53,21 M","36,34 M","37,56 M","43,69 M","34,28 M","26,47 M","21,69 M","22,33 M","28,40 M","15,13 M","20,74 M","27,06 M","31,96 M","28,07 M","23,26 M","32,66 M","30,67 M","27,59 M","35,97 M","32,51 M","33,27 M","36,23 M","38,37 M","41,30 M","49,92 M","40,03 M","39,20 M","37,15 M","47,47 M","6,38 M","31,43 M","24,04 M","65,15 M","57,35 M","54,72 M"
Despesas operacionais,"-57,48 M","-55,36 M","-53,06 M","-38,66 M","-49,26 M","-51,97 M","-45,55 M","-39,88 M","-37,07 M","-8,20 M","-26,30 M","-27,21 M","-20,19 M","-12,69 M","-33,38 M","-32,86 M","-32,20 M","-29,58 M","-30,62 M","-32,30 M","-32,74 M","-27,69 M","-30,19 M","-24,75 M","-28,22 M","-32,84 M","-28,33 M","-30,11 M","-23,43 M","-23,69 M","-26,96 M","-14,73 M","-20,39 M","-18,70 M","-20,60 M","-19,44 M","-14,18 M","-18,82 M","-21,18 M","-13,83 M","-19,77 M","-17,48 M","-19,91 M","-19,23 M","-16,09 M","-23,94 M","-19,16 M","-18,05 M","-19,76 M","-18,11 M","-16,58 M","-16,53 M","-14,48 M","-19,36 M","-18,94 M","-15,61 M","-16,03 M","-20,69 M","-25,92 M","-24,36 M","-29,83 M","-28,75 M","-31,95 M","-28,31 M","-23,10 M"
Despesas com vendas,"-29,44 M","-28,87 M","-28,56 M","-26,75 M","-23,43 M","-25,77 M","-25,08 M","-22,36 M","-19,92 M","-18,47 M","-18,48 M","-16,79 M","-17,69 M","-15,73 M","-15,09 M","-13,95 M","-14,34 M","-15,45 M","-14,51 M","-14,15 M","-15,67 M","-16,07 M","-15,02 M","-13,52 M","-15,31 M","-14,23 M","-11,43 M","-14,41 M","-11,43 M","-10,90 M","-9,50 M","-11,79 M","-10,48 M","-11,87 M","-10,04 M","-9,88 M","-7,13 M","-9,93 M","-10,41 M","-9,97 M","-8,74 M","-8,08 M","-9,82 M","-8,29 M","-2,65 M","-8,94 M","-4,94 M","-6,80 M","-9,30 M","-12,37 M","-11,02 M","-11,35 M","-8,41 M","-8,43 M","-7,39 M","-7,43 M","-6,73 M","-7,69 M","-7,39 M","-10,31 M","-11,34 M","-11,82 M","-14,25 M","-12,93 M","-10,74 M"
Despesas administrativas,"-29,29 M","-30,57 M","-27,38 M","-24,15 M","-25,21 M","-27,07 M","-24,52 M","-25,55 M","-24,19 M","-23,87 M","-18,89 M","-19,78 M","-21,71 M","-17,81 M","-19,05 M","-17,37 M","-18,47 M","-16,78 M","-17,91 M","-19,03 M","-19,50 M","-19,07 M","-20,41 M","-17,01 M","-17,51 M","-20,96 M","-21,45 M","-17,40 M","-12,69 M","-12,65 M","-17,32 M","-8,96 M","-10,82 M","-11,85 M","-11,12 M","-10,51 M","-8,18 M","-9,35 M","-11,03 M","-10,31 M","-10,85 M","-10,65 M","-11,23 M","-12,18 M","-12,49 M","-9,71 M","-13,47 M","-16,29 M","-13,98 M","-10,13 M","-10,69 M","-11,31 M","-10,92 M","-9,44 M","-14,36 M","-17,46 M","-15,09 M","-9,01 M","-16,58 M","-17,17 M","-14,05 M","-9,96 M","-14,11 M","-13,56 M","-12,41 M"
EBIT,"30,00 M","64,69 M","53,53 M","50,51 M","39,48 M","75,88 M","47,11 M","39,52 M","37,81 M","54,83 M","32,24 M","36,57 M","38,98 M","38,51 M","21,94 M","33,13 M","20,52 M","25,58 M","42,06 M","45,46 M","45,51 M","65,22 M","57,12 M","41,55 M","35,21 M","50,46 M","51,40 M","34,40 M","34,12 M","27,37 M","26,25 M","21,61 M","17,17 M","24,99 M","13,68 M","7,03 M","7,51 M","3,51 M","7,22 M","1,30 M","977,00 Mil","9,58 M","12,05 M","8,84 M","7,16 M","8,72 M","11,51 M","9,54 M","16,21 M","14,39 M","16,69 M","19,70 M","23,89 M","21,94 M","30,98 M","24,42 M","23,17 M","16,46 M","21,55 M","-17,98 M","1,60 M","-4,71 M","33,20 M","29,04 M","31,62 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"7,77 M","11,40 M","12,71 M","8,90 M","11,93 M","8,06 M","274,00 Mil","-474,00 Mil","1,32 M","-1,87 M","-979,00 Mil","89,00 Mil","-1,51 M","-6,06 M","-6,17 M","-5,62 M","-4,75 M","-4,10 M","-1,41 M","-1,78 M","-1,91 M","798,00 Mil","-326,00 Mil","829,00 Mil","1,12 M","2,16 M","-1,10 M","-1,60 M","-1,53 M","-529,00 Mil","-224,00 Mil","-1,23 M","-962,00 Mil","-649,00 Mil","-1,84 M","-2,51 M","-3,19 M","-48,00 Mil","-2,33 M","-1,54 M","253,00 Mil","-742,00 Mil","-1,98 M","-2,07 M","197,00 Mil","-198,00 Mil","1,45 M","1,57 M","246,00 Mil","2,08 M","39,00 Mil","-2,16 M","-3,66 M","-2,91 M","-8,01 M","-3,46 M","-3,06 M","-6,58 M","-8,94 M","-8,29 M","-7,38 M","-5,84 M","-4,72 M","-5,12 M","-4,41 M"
Antes dos impostos,"37,77 M","76,09 M","66,24 M","59,41 M","51,41 M","83,94 M","47,39 M","39,04 M","39,13 M","52,96 M","31,26 M","36,66 M","37,46 M","32,45 M","15,77 M","27,50 M","15,78 M","21,49 M","40,65 M","43,68 M","43,60 M","66,02 M","56,79 M","42,37 M","36,33 M","52,62 M","50,30 M","32,79 M","32,59 M","26,84 M","26,03 M","20,39 M","16,21 M","24,34 M","11,85 M","4,52 M","4,32 M","3,46 M","4,90 M","-236,00 Mil","1,23 M","8,84 M","10,07 M","6,76 M","7,36 M","8,53 M","12,96 M","11,11 M","16,45 M","16,48 M","16,73 M","17,54 M","20,23 M","19,03 M","22,97 M","20,96 M","20,11 M","9,88 M","12,61 M","-26,27 M","-5,78 M","-10,56 M","28,48 M","23,92 M","27,21 M"
