Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"9,23 B","9,39 B","9,87 B","10,13 B","10,69 B","11,51 B","11,32 B","11,70 B","10,74 B","10,28 B","9,99 B","9,81 B","10,03 B","10,24 B","8,97 B","7,90 B","6,96 B","7,51 B","6,47 B","6,21 B","6,48 B","6,11 B","6,40 B","6,04 B","6,32 B","5,12 B","5,20 B","4,90 B","4,90 B","4,91 B","4,96 B","4,79 B","4,34 B","4,61 B","4,57 B","4,71 B","4,72 B","4,77 B","4,97 B","4,87 B","5,44 B","5,75 B","5,71 B","5,36 B","5,45 B","4,96 B","4,93 B","4,45 B","4,52 B","4,51 B","3,92 B","4,07 B","3,90 B","3,80 B","3,81 B","3,86 B","3,58 B","3,42 B","2,80 B","2,41 B","2,46 B","2,34 B","2,18 B"
Ativo circulante,"5,87 B","5,95 B","6,09 B","6,35 B","6,82 B","7,46 B","7,19 B","7,40 B","6,62 B","6,19 B","6,12 B","6,03 B","6,18 B","6,43 B","6,08 B","5,07 B","4,30 B","4,58 B","3,80 B","3,58 B","3,60 B","3,33 B","3,53 B","3,13 B","3,47 B","2,60 B","2,58 B","2,33 B","2,30 B","2,35 B","2,32 B","2,19 B","1,88 B","2,13 B","2,14 B","2,19 B","2,28 B","2,28 B","2,32 B","2,28 B","2,63 B","2,74 B","2,66 B","2,62 B","2,74 B","2,44 B","2,40 B","2,03 B","2,08 B","2,04 B","1,48 B","1,63 B","1,54 B","1,41 B","1,48 B","1,58 B","2,11 B","2,06 B","1,35 B","1,03 B","1,13 B","1,07 B","879,35 M"
Caixa e eq. de caixa,"1,82 B","1,85 B","1,65 B","1,44 B","1,71 B","2,38 B","2,17 B","2,43 B","1,88 B","1,59 B","1,14 B","1,15 B","1,18 B","1,51 B","1,97 B","838,44 M","952,90 M","1,27 B","1,09 B","1,27 B","1,38 B","1,43 B","1,43 B","1,28 B","1,36 B","840,03 M","611,19 M","492,26 M","532,39 M","713,73 M","742,61 M","614,10 M","494,69 M","865,37 M","944,80 M","1,05 B","1,14 B","1,20 B","1,19 B","1,24 B","1,51 B","1,52 B","1,30 B","1,37 B","1,43 B","1,34 B","1,34 B","1,08 B","1,12 B","1,12 B","529,74 M","657,41 M","695,00 Mil","660,44 M","523,39 M","1,14 M","16,52 M","2,88 M","64,44 M","21,96 M","520,00 Mil","21,47 M","1,84 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,08 M","1,06 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"677,07 M",0,0,"612,91 M","1,44 B","1,42 B","678,38 M","457,41 M","589,27 M","556,90 M","435,40 M"
Contas a receber,"1,67 B","1,60 B","1,66 B","1,94 B","2,03 B","1,84 B","2,11 B","2,09 B","1,95 B","1,83 B","2,22 B","2,14 B","2,09 B","2,03 B","1,99 B","2,05 B","1,51 B","1,25 B","1,20 B","972,34 M","991,66 M","683,40 M","836,02 M","547,15 M","796,22 M","672,36 M","909,15 M","890,01 M","813,13 M","688,50 M","754,03 M","783,07 M","689,71 M","573,09 M","549,63 M","571,45 M","533,04 M","418,96 M","455,01 M","445,24 M","464,37 M","542,10 M","608,58 M","523,25 M","542,26 M","423,81 M","470,67 M","395,40 M","440,27 M","379,66 M","431,59 M","433,26 M","372,64 M","244,69 M","356,92 M","395,06 M","272,21 M","269,68 M","296,18 M","238,04 M","247,22 M","214,74 M","174,02 M"
Estoques,"1,63 B","1,72 B","1,98 B","2,04 B","2,13 B","2,20 B","2,07 B","2,05 B","1,99 B","1,96 B","1,98 B","2,02 B","2,19 B","2,21 B","1,59 B","1,71 B","1,35 B","1,49 B","997,19 M","843,98 M","746,27 M","754,49 M","725,45 M","765,18 M","825,97 M","654,11 M","584,47 M","522,37 M","513,14 M","523,62 M","486,75 M","467,61 M","426,93 M","419,49 M","354,01 M","338,78 M","373,65 M","409,71 M","371,83 M","311,66 M","349,85 M","388,25 M","456,53 M","474,01 M","472,81 M","379,22 M","342,25 M","326,18 M","291,46 M","277,77 M","296,10 M","279,87 M","258,86 M","290,83 M","322,22 M","302,33 M","206,11 M","222,26 M","197,49 M","194,85 M","184,71 M","201,20 M","172,64 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,36 B","3,44 B","3,78 B","3,78 B","3,87 B","4,05 B","4,12 B","4,30 B","4,12 B","4,10 B","3,86 B","3,79 B","3,84 B","3,82 B","2,89 B","2,83 B","2,65 B","2,93 B","2,67 B","2,64 B","2,88 B","2,78 B","2,88 B","2,91 B","2,84 B","2,52 B","2,62 B","2,56 B","2,60 B","2,56 B","2,64 B","2,60 B","2,47 B","2,48 B","2,44 B","2,53 B","2,45 B","2,49 B","2,65 B","2,60 B","2,81 B","3,01 B","3,05 B","2,74 B","2,72 B","2,53 B","2,53 B","2,42 B","2,44 B","2,47 B","2,44 B","2,44 B","2,36 B","2,39 B","2,33 B","2,27 B","1,47 B","1,36 B","1,46 B","1,39 B","1,33 B","1,27 B","1,30 B"
Investimentos,"12,13 M","12,28 M","12,37 M","14,44 M","13,30 M","14,27 M","13,71 M","12,65 M","13,30 M","13,21 M","14,37 M","14,73 M","19,51 M","21,19 M","18,96 M","18,55 M","16,97 M","18,15 M","18,16 M","17,55 M","18,87 M","18,01 M","18,39 M","18,07 M","17,18 M","15,82 M","16,21 M","15,20 M","15,37 M","14,67 M","14,33 M","13,69 M","13,46 M","13,31 M","13,05 M","12,83 M","12,95 M","13,30 M","13,12 M","12,63 M","12,71 M","13,20 M","13,17 M","11,72 M","11,76 M","11,07 M","11,17 M","10,89 M","11,26 M","12,08 M","11,27 M","9,49 M","8,99 M","8,53 M","9,22 M","9,00 M","5,94 M","5,55 M","1,36 M","944,00 Mil","940,00 Mil","922,00 Mil","980,00 Mil"
Imobilizado,"2,45 B","2,53 B","2,74 B","2,76 B","2,82 B","2,94 B","2,93 B","2,98 B","2,81 B","2,79 B","2,66 B","2,55 B","2,58 B","2,58 B","2,08 B","2,02 B","1,92 B","2,13 B","1,72 B","1,62 B","1,79 B","1,73 B","1,86 B","1,88 B","1,86 B","1,63 B","1,64 B","1,57 B","1,57 B","1,56 B","1,58 B","1,57 B","1,49 B","1,51 B","1,51 B","1,56 B","1,55 B","1,60 B","1,71 B","1,72 B","1,82 B","1,92 B","1,95 B","1,79 B","1,83 B","1,73 B","1,69 B","1,64 B","1,65 B","1,65 B","1,60 B","1,59 B","1,56 B","1,58 B","1,56 B","1,55 B","1,17 B","1,14 B","1,09 B","1,03 B","986,41 M","961,25 M","893,23 M"
