Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
P/L,"-8,53","7,86","10,72","4,27","7,82","15,01","11,06","40,11","-20,79","-4,25","7,41","-36,23","11,67","9,01",-,-
P/VP,"0,55","0,51","0,86","0,75","1,21","1,43","1,24","0,79","0,79","0,59","0,49","0,45","0,78","1,71",-,-
P/EBIT,"-9,20","27,37","19,70","5,40","6,73","12,67","9,95","97,45","-9,06","-3,35","12,12","-6,05","11,54","7,96",-,-
P/EBIT *,"-5,60","46,62","36,14","8,86","7,74","17,29","11,57","-79,99","-8,12","-3,18","21,67","-5,10","16,82","9,89",-,-
PSR,"0,41","0,43","0,75","0,57","0,92","1,48","1,33","0,91","0,84","0,56","0,44","0,36","0,62","1,36",-,-
P/Ativos,"0,24","0,27","0,47","0,50","0,70","1,09","0,87","0,63","0,61","0,44","0,36","0,32","0,62","1,39",-,-
LPA,"-0,17","0,19","0,23","0,50","0,39","0,22","0,27","0,05","-0,10","-0,37","0,20","-0,04","0,21","0,00",-,-
VPA,"2,73","2,91","2,88","2,86","2,54","2,36","2,42","2,59","2,54","2,64","3,00","2,92","3,11","0,00",-,-
EBIT por ação,"-0,16","0,05","0,12","0,39","0,46","0,27","0,30","0,02","-0,22","-0,47","0,12","-0,22","0,21","0,00",-,-
EBIT por ação *,"-0,27","0,03","0,07","0,24","0,40","0,20","0,26","-0,03","-0,25","-0,49","0,07","-0,26","0,14","0,58",-,-
Ativo por ação,"6,28","5,55","5,28","4,23","4,36","3,10","3,45","3,28","3,27","3,54","4,05","4,09","3,89","0,00",-,-
Receita líquida por ação,"3,62","3,43","3,29","3,72","3,34","2,28","2,26","2,26","2,39","2,80","3,37","3,68","3,90","0,00",-,-
Margem bruta,"31,07%","38,13%","35,45%","34,18%","36,30%","39,01%","39,81%","38,94%","42,43%","43,13%","46,36%","41,52%","39,95%","41,32%","42,72%","40,13%"
Margem líquida,"-4,83%","5,49%","6,98%","13,41%","11,76%","9,86%","12,04%","2,27%","-4,02%","-13,11%","5,89%","-0,99%","5,32%","15,09%","19,61%","18,41%"
Margem EBIT,"-4,48%","1,58%","3,80%","10,62%","13,67%","11,68%","13,39%","0,94%","-9,24%","-16,63%","3,60%","-5,92%","5,37%","17,09%","24,90%","23,30%"
Margem EBIT *,"-7,36%","0,93%","2,07%","6,46%","11,88%","8,56%","11,52%","-1,14%","-10,30%","-17,51%","2,01%","-7,02%","3,69%","13,75%","22,70%","21,55%"
Margem EBITDA,"3,03%","7,86%","7,92%","14,39%","17,94%","17,58%","19,24%","7,02%","-2,60%","-10,71%","8,40%","-2,17%","8,60%","20,05%","27,30%",--%
Margem EBITDA *,"0,16%","7,21%","6,19%","10,23%","16,15%","14,47%","17,37%","4,94%","-3,66%","-11,60%","6,81%","-3,27%","6,92%","16,71%","25,09%",--%
