Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011
Receita líquida,"40,95 M","65,66 M","66,64 M","63,61 M","43,04 M","64,49 M","58,66 M","56,31 M","47,09 M","58,87 M","58,80 M","51,02 M","48,71 M","62,97 M","65,84 M","58,14 M","58,73 M","69,51 M","60,62 M","48,22 M","42,29 M","52,93 M","40,97 M","29,23 M","27,32 M","44,54 M","38,44 M","35,47 M","30,90 M","41,80 M","41,87 M","35,35 M","30,29 M","42,05 M","41,16 M","37,01 M","37,72 M","46,26 M","46,79 M","47,15 M","44,86 M","56,94 M","55,77 M","59,62 M","50,32 M","66,78 M","63,85 M","58,67 M","54,22 M","75,23 M","64,22 M","63,48 M","54,98 M",0,0,0,"66,19 M","80,36 M","81,05 M","67,87 M","65,40 M"
Custos,"-30,91 M","-44,58 M","-44,83 M","-44,02 M","-31,27 M","-41,46 M","-36,24 M","-34,04 M","-28,44 M","-37,08 M","-36,66 M","-34,20 M","-32,40 M","-41,26 M","-41,92 M","-39,07 M","-39,45 M","-44,22 M","-38,44 M","-30,70 M","-27,20 M","-30,09 M","-25,35 M","-18,77 M","-17,57 M","-25,98 M","-23,37 M","-21,18 M","-19,36 M","-25,34 M","-25,24 M","-22,24 M","-18,35 M","-24,49 M","-23,48 M","-21,89 M","-21,07 M","-26,84 M","-27,06 M","-26,49 M","-24,86 M","-30,74 M","-29,83 M","-32,15 M","-26,72 M","-38,29 M","-37,48 M","-34,82 M","-31,82 M","-44,46 M","-39,19 M","-38,53 M","-32,68 M",0,0,0,"-37,34 M","-45,38 M","-47,44 M","-39,12 M","-36,85 M"
Lucro bruto,"10,04 M","21,08 M","21,81 M","19,59 M","11,77 M","23,03 M","22,42 M","22,27 M","18,66 M","21,79 M","22,14 M","16,82 M","16,31 M","21,71 M","23,92 M","19,06 M","19,28 M","25,29 M","22,18 M","17,52 M","15,10 M","22,85 M","15,62 M","10,46 M","9,75 M","18,55 M","15,08 M","14,29 M","11,54 M","16,46 M","16,63 M","13,11 M","11,95 M","17,57 M","17,68 M","15,12 M","16,65 M","19,43 M","19,73 M","20,66 M","19,99 M","26,20 M","25,94 M","27,47 M","23,60 M","28,49 M","26,37 M","23,85 M","22,41 M","30,77 M","25,03 M","24,95 M","22,30 M",0,0,0,"28,85 M","34,98 M","33,60 M","28,75 M","28,55 M"
Despesas operacionais,"-19,85 M","-22,94 M","-22,29 M","-20,75 M","-18,98 M","-22,99 M","-22,13 M","-20,04 M","-17,66 M","-21,01 M","-17,29 M","-16,31 M","-14,20 M","-20,26 M","-16,87 M","-14,45 M","-6,31 M","-17,60 M","-11,96 M","-11,11 M","-9,26 M","-12,65 M","-8,19 M","-9,92 M","-10,35 M","-11,91 M","-9,82 M","-9,46 M","-8,28 M","-15,07 M","-14,08 M","-14,40 M","-13,20 M","-24,01 M","-18,21 M","-22,53 M","-16,86 M","-45,36 M","-25,74 M","-21,40 M","-18,07 M","-27,93 M","-24,86 M","-23,23 M","-19,19 M","-48,68 M","-25,96 M","-21,77 M","-19,11 M","-27,89 M","-22,75 M","-21,41 M","-17,15 M",0,0,0,"-9,64 M","-16,81 M","-12,87 M","-13,66 M","-9,17 M"
Despesas com vendas,"-15,34 M","-19,63 M","-17,16 M","-17,15 M","-14,98 M","-18,66 M","-17,99 M","-15,67 M","-13,66 M","-16,70 M","-14,08 M","-12,43 M","-10,59 M","-16,05 M","-13,38 M","-10,78 M","-9,20 M","-12,97 M","-9,48 M","-8,57 M","-6,85 M","-10,25 M","-5,81 M","-7,39 M","-8,26 M","-8,91 M","-6,93 M","-6,06 M","-5,04 M","-10,18 M","-8,76 M","-8,22 M","-8,51 M","-15,93 M","-11,91 M","-17,79 M","-12,74 M","-29,36 M","-19,60 M","-16,50 M","-13,96 M","-20,33 M","-21,09 M","-19,78 M","-17,07 M","-43,52 M","-21,99 M","-18,77 M","-15,79 M","-19,50 M","-18,23 M","-17,39 M","-14,02 M","-18,19 M","-15,11 M","-16,78 M","-7,34 M","-12,10 M","-10,54 M","-10,56 M","-9,03 M"
Despesas administrativas,"-5,08 M","-7,62 M","-5,78 M","-5,07 M","-4,45 M","-5,09 M","-4,49 M","-4,76 M","-3,96 M","-5,12 M","-4,88 M","-4,50 M","-4,25 M","-4,90 M","-4,79 M","-4,19 M","-4,80 M","-5,25 M","-3,68 M","-3,95 M","-3,14 M","-3,70 M","-3,67 M","-3,32 M","-3,40 M","-3,80 M","-3,38 M","-4,08 M","-4,06 M","-5,98 M","-5,92 M","-7,14 M","-5,13 M","-7,54 M","-7,11 M","-4,50 M","-5,76 M","-15,77 M","-6,50 M","-5,54 M","-4,98 M","-6,85 M","-5,11 M","-4,64 M","-3,88 M","-5,34 M","-4,47 M","-4,09 M","-4,24 M","-9,61 M","-5,40 M","-5,31 M","-4,08 M","-5,68 M","-5,82 M","-4,18 M","-3,95 M","-5,92 M","-4,19 M","-4,10 M","-2,57 M"
EBIT,"-9,81 M","-1,86 M","-480,00 Mil","-1,16 M","-7,21 M","44,00 Mil","294,00 Mil","2,24 M","999,00 Mil","777,00 Mil","4,85 M","513,00 Mil","2,11 M","1,45 M","7,05 M","4,61 M","12,97 M","7,69 M","10,22 M","6,41 M","5,84 M","10,20 M","7,43 M","539,00 Mil","-597,00 Mil","6,64 M","5,25 M","4,83 M","3,26 M","1,39 M","2,55 M","-1,29 M","-1,25 M","-6,45 M","-529,00 Mil","-7,42 M","-206,00 Mil","-25,93 M","-6,01 M","-744,00 Mil","1,92 M","-1,72 M","1,08 M","4,24 M","4,42 M","-20,20 M","409,00 Mil","2,07 M","3,30 M","2,89 M","2,28 M","3,54 M","5,15 M",0,0,0,"19,20 M","18,17 M","20,74 M","15,09 M","19,38 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-468,00 Mil","1,10 M","-522,00 Mil","-789,00 Mil","-1,22 M","2,06 M","122,00 Mil","2,45 M","2,38 M","1,43 M","1,52 M","1,16 M","1,08 M","629,00 Mil","2,52 M","3,75 M","1,93 M","1,61 M","1,20 M","1,85 M","51,00 Mil","1,14 M","908,00 Mil","131,00 Mil","631,00 Mil","1,06 M","1,59 M","1,23 M","1,30 M","1,39 M","1,39 M","1,34 M","1,05 M","1,19 M","875,00 Mil","1,13 M","1,41 M","1,59 M","2,33 M","1,31 M","2,59 M","2,34 M","2,40 M","1,04 M","2,26 M","61,00 Mil","1,74 M","1,12 M","1,99 M","-2,71 M","561,00 Mil","857,00 Mil","2,85 M",0,0,0,"2,15 M","1,72 M","2,25 M","2,35 M","1,68 M"
Antes dos impostos,"-10,28 M","-756,00 Mil","-1,00 M","-1,95 M","-8,42 M","2,10 M","416,00 Mil","4,69 M","3,38 M","2,21 M","6,37 M","1,67 M","3,19 M","2,08 M","9,57 M","8,36 M","14,90 M","9,30 M","11,42 M","8,26 M","5,89 M","11,34 M","8,34 M","670,00 Mil","34,00 Mil","7,70 M","6,84 M","6,06 M","4,57 M","2,79 M","3,94 M","51,00 Mil","-204,00 Mil","-5,26 M","346,00 Mil","-6,29 M","1,21 M","-24,34 M","-3,69 M","570,00 Mil","4,50 M","613,00 Mil","3,48 M","5,28 M","6,67 M","-20,13 M","2,15 M","3,19 M","5,29 M","174,00 Mil","2,84 M","4,39 M","8,00 M",0,0,0,"21,35 M","19,89 M","22,99 M","17,43 M","21,06 M"
Imposto,"3,16 M","-2,23 M","55,00 Mil","-246,00 Mil","3,00 M","4,12 M","-225,00 Mil","-1,46 M","-579,00 Mil","4,30 M","-2,45 M","-461,00 Mil","336,00 Mil","2,89 M","-2,21 M","2,09 M","-4,74 M","333,00 Mil","-4,15 M","-2,96 M","-2,15 M","-1,82 M","-3,19 M","-400,00 Mil","-142,00 Mil","-1,14 M","-2,45 M","-2,01 M","-1,59 M","-977,00 Mil","-2,00 M","-37,00 Mil","-164,00 Mil","658,00 Mil","-116,00 Mil","3,15 M","-53,00 Mil","214,00 Mil","-606,00 Mil","-27,00 Mil","-898,00 Mil","554,00 Mil","-600,00 Mil","-1,24 M","-1,67 M","7,42 M","166,00 Mil","119,00 Mil","-615,00 Mil","240,00 Mil","28,00 Mil","-194,00 Mil","-1,78 M",0,0,0,"-7,38 M","-4,96 M","-5,40 M","-6,00 M","-7,23 M"
Op. continuadas,"-7,12 M","-2,98 M","-947,00 Mil","-2,19 M","-5,42 M","6,22 M","191,00 Mil","3,23 M","2,80 M","6,51 M","3,92 M","1,21 M","3,52 M","4,96 M","7,36 M","10,46 M","10,17 M","9,64 M","7,27 M","5,29 M","3,74 M","9,52 M","5,15 M","270,00 Mil","-108,00 Mil","6,57 M","4,39 M","4,05 M","2,97 M","1,81 M","1,94 M","14,00 Mil","-368,00 Mil","-4,60 M","230,00 Mil","-3,14 M","1,15 M","-24,12 M","-4,29 M","543,00 Mil","3,61 M","1,17 M","2,88 M","4,05 M","5,00 M","-12,71 M","2,32 M","3,31 M","4,68 M","414,00 Mil","2,87 M","4,20 M","6,22 M",0,0,0,"13,97 M","14,94 M","17,59 M","11,44 M","13,83 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
