Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"13,06","7,94","12,31","7,96","16,52","22,98","31,73","18,87","20,90","20,14","19,91","22,22","18,59","20,25","18,60","25,05","43,85"
P/VP,"2,05","1,24","2,22","1,22","1,40","2,15","1,25","2,30","3,45","3,69","3,77","3,58","3,49","3,45","2,84","3,72","3,99"
P/EBIT,"6,44","3,80","6,56","4,28","7,94","13,67","9,20","11,52","11,34","10,10","10,14","12,15","10,65","12,02","10,87","14,47","21,27"
P/EBIT *,"6,98","3,53","5,95","3,89","9,32","14,70","6,79","11,64","11,66","10,80","10,38","12,87","11,35","12,67","11,45","15,53","21,74"
PSR,"0,23","0,14","0,24","0,10","0,13","0,28","0,13","0,24","0,40","0,41","0,40","0,41","0,37","0,38","0,32","0,45","0,53"
P/Ativos,"0,65","0,47","0,79","0,39","0,36","0,57","0,38","0,71","1,13","1,30","1,44","1,42","1,39","1,35","1,15","1,48","1,67"
LPA,"2,20","2,12","2,19","1,61","0,76","0,80","0,33","1,03","1,37","1,40","1,35","1,11","1,10","0,91","0,76","0,69","0,39"
VPA,"14,04","13,58","12,10","10,49","9,02","8,54","8,48","8,47","8,29","7,64","7,12","6,90","5,84","5,36","4,97","4,62","4,31"
EBIT por ação,"4,46","4,43","4,10","3,00","1,59","1,35","1,15","1,69","2,52","2,79","2,64","2,03","1,92","1,54","1,30","1,19","0,81"
EBIT por ação *,"4,11","4,76","4,52","3,30","1,35","1,25","1,56","1,67","2,45","2,61","2,58","1,92","1,80","1,46","1,24","1,11","0,79"
Ativo por ação,"44,23","35,45","34,28","32,66","34,96","32,49","27,96","27,33","25,35","21,65","18,56","17,46","14,68","13,67","12,32","11,64","10,29"
Receita líquida por ação,"127,59","119,64","112,96","128,72","98,34","66,37","80,03","81,28","71,00","69,32","67,80","60,70","54,61","48,28","43,61","38,07","32,35"
Margem bruta,"6,57%","7,26%","7,39%","5,12%","4,47%","5,40%","6,84%","6,79%","8,58%","9,06%","8,88%","8,02%","7,84%","7,61%","7,24%","7,44%","7,35%"
Margem líquida,"1,79%","1,89%","2,00%","1,28%","0,81%","1,25%","0,45%","1,25%","1,93%","2,03%","2,00%","1,85%","2,02%","1,91%","1,76%","1,80%","1,22%"
Margem EBIT,"3,50%","3,70%","3,63%","2,33%","1,61%","2,03%","1,44%","2,08%","3,55%","4,02%","3,90%","3,35%","3,51%","3,19%","2,98%","3,12%","2,50%"
Margem EBIT *,"3,23%","3,98%","4,00%","2,56%","1,37%","1,89%","1,95%","2,06%","3,45%","3,77%","3,81%","3,16%","3,29%","3,03%","2,83%","2,91%","2,44%"
Margem EBITDA,"4,35%","4,38%","4,31%","3,04%","2,21%","3,16%","2,39%","2,97%","4,44%","5,45%","5,23%","4,66%","4,79%","4,48%","4,18%","4,37%","3,96%"
Margem EBITDA *,"4,08%","4,66%","4,68%","3,27%","1,97%","3,02%","2,90%","2,95%","4,34%","5,19%","5,14%","4,47%","4,57%","4,31%","4,03%","4,16%","3,91%"
Margem operacional,"2,68%","3,00%","2,84%","1,31%","0,92%","1,28%","0,88%","1,95%","2,95%","2,94%","2,97%","2,69%","2,96%","2,69%","2,38%","2,50%","1,69%"
ROE,"14,34%","15,96%","17,95%","15,11%","8,44%","9,36%","4,10%","11,55%","15,85%","18,35%","18,97%","16,19%","18,77%","17,10%","15,33%","14,78%","9,10%"
ROA,"0,05","0,06","0,07","0,05","0,02","0,03","0,01","0,04","0,05","0,07","0,07","0,06","0,07","0,07","0,06","0,06","0,04"
ROIC,"13,22%","16,13%","17,40%","14,61%","6,07%","6,13%","5,53%","8,98%","14,18%","18,57%","18,74%","16,29%","17,85%","15,66%","14,58%","14,97%","10,91%"
ROIC *,"12,19%","17,34%","19,18%","16,06%","5,17%","5,70%","7,49%","8,89%","13,79%","17,38%","18,31%","15,38%","16,74%","14,86%","13,84%","13,95%","10,67%"
Giro do ativo,"2,88","3,37","3,30","3,94","2,81","2,04","2,86","2,97","2,80","3,20","3,65","3,48","3,72","3,53","3,54","3,27","3,14"
EBIT *,4.591 mi,5.315 mi,5.046 mi,3.681 mi,1.506 mi,1.396 mi,1.744 mi,1.863 mi,2.735 mi,2.912 mi,2.883 mi,2.142 mi,2.006 mi,1.630 mi,1.378 mi,1.234 mi,881 mi
EBITDA,6.198 mi,5.844 mi,5.426 mi,4.369 mi,2.422 mi,2.340 mi,2.133 mi,2.697 mi,3.517 mi,4.216 mi,3.953 mi,3.157 mi,2.917 mi,2.411 mi,2.032 mi,1.855 mi,1.430 mi
EBITDA *,5.810 mi,6.216 mi,5.895 mi,4.702 mi,2.159 mi,2.234 mi,2.588 mi,2.676 mi,3.440 mi,4.016 mi,3.886 mi,3.030 mi,2.785 mi,2.323 mi,1.958 mi,1.765 mi,1.411 mi
Liquidez corrente,"1,62","1,53","1,66","1,45","1,98","1,89","2,90","2,56","2,21","2,37","2,59","1,67","2,10","1,92","1,60","2,56","2,05"
Liquidez seca,"1,26","1,16","1,28","1,07","1,67","1,48","2,18","2,03","1,71","1,87","1,93","1,33","1,68","1,57","1,28","2,11","1,69"
Liquidez imediata,"0,27","0,20","0,53","0,44","0,18","0,29","0,41","0,62","0,71","0,78","0,71","0,50","0,60","0,54","0,44","1,05","0,74"
