Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"13,84","9,25","6,93","5,36","3,30","10,48","7,63","3,36","3,93","0,79","1,84","2,24","0,46","4,24","38,17","10,68","-0,77"
P/VP,"3,75","1,84","2,25","3,07","2,87","2,23","0,90","1,32","1,20","0,21","0,20","0,19","0,22","0,40","0,45","0,87","1,34"
P/EBIT,"8,52","8,23","5,57","2,98","2,23","5,15","3,33","2,14","2,76","0,39","1,03","1,08","0,43","2,81","10,11","7,63","48,83"
P/EBIT *,"8,54","7,97","5,34","2,87","2,99","4,95","3,45","2,06","2,23","0,97","0,75","0,95","11,18","2,89","3,63","8,33","20,56"
PSR,"1,31","0,95","1,11","0,98","1,04","1,00","0,43","0,51","0,39","0,25","0,19","0,19","0,89","0,47","0,49","1,02","1,27"
P/Ativos,"0,93","0,72","0,85","1,19","1,05","0,85","0,36","0,44","0,34","0,06","0,10","0,09","0,10","0,26","0,19","0,32","0,07"
LPA,"4,32","4,91","6,96","11,72","17,54","3,25","1,53","4,67","2,67","2,48","0,00","0,58","3,18","0,35","0,04","0,27","-5,29"
VPA,"15,94","24,66","21,40","20,48","20,22","15,24","13,02","11,91","8,76","9,56","0,00","6,86","6,56","3,64","3,37","3,31","3,04"
EBIT por ação,"7,01","5,52","8,66","21,03","26,02","6,61","3,51","7,34","3,81","5,02","0,00","1,20","3,45","0,52","0,15","0,37","0,08"
EBIT por ação *,"6,99","5,70","9,04","21,87","19,40","6,87","3,38","7,61","4,70","2,03","1,91","1,37","0,13","0,51","0,41","0,34","0,20"
Ativo por ação,"63,93","62,84","56,52","52,97","55,21","39,84","32,86","35,72","30,63","30,88","0,00","14,36","14,58","5,69","7,86","8,92","58,29"
Receita líquida por ação,"45,44","47,99","43,27","64,24","55,57","34,18","26,94","30,65","26,68","7,86","0,00","6,86","1,66","3,14","3,05","2,79","3,21"
Margem bruta,"28,49%","27,11%","34,66%","44,77%","44,56%","34,50%","26,79%","36,32%","29,97%","43,55%","44,35%","45,16%","46,21%","41,27%","38,83%","38,68%","40,06%"
Margem líquida,"9,37%","10,26%","16,16%","18,35%","31,86%","9,57%","5,65%","15,78%","10,14%","31,57%","10,23%","8,45%","192,23%","11,05%","1,29%","9,58%","-180,64%"
