Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"457,17 B","476,09 B","484,95 B","493,23 B","479,07 B","496,32 B","484,26 B","481,48 B","458,03 B","455,98 B","445,62 B","441,04 B","444,77 B","453,39 B","435,83 B","441,87 B","441,32 B","499,13 B","472,57 B","483,79 B","495,57 B","478,13 B","451,14 B","455,30 B","439,71 B","369,67 B","391,02 B","366,87 B","366,88 B","341,71 B","342,28 B","339,65 B","313,71 B","328,10 B","323,42 B","325,21 B","326,38 B","322,70 B","331,40 B","324,10 B","339,06 B","345,55 B","393,41 B","333,06 B","335,40 B","309,42 B","301,10 B","283,58 B","288,84 B","291,88 B","292,74 B","282,12 B","268,79 B","266,92 B","272,27 B","253,50 B","242,57 B","237,09 B","239,10 B","222,24 B","217,32 B","214,66 B","177,74 B"
Ativo circulante,"87,43 B","100,64 B","87,68 B","95,96 B","84,34 B","83,48 B","75,18 B","82,44 B","87,57 B","90,53 B","73,47 B","74,92 B","73,71 B","81,01 B","75,27 B","83,92 B","92,22 B","124,80 B","108,74 B","127,07 B","132,02 B","126,81 B","98,96 B","111,20 B","103,68 B","68,70 B","76,99 B","60,99 B","58,74 B","59,26 B","60,59 B","59,64 B","50,65 B","62,70 B","63,01 B","65,71 B","71,04 B","73,55 B","63,32 B","58,65 B","61,30 B","60,42 B","70,32 B","56,06 B","56,79 B","53,74 B","52,12 B","49,72 B","52,03 B","57,10 B","55,18 B","46,94 B","46,18 B","46,04 B","50,61 B","41,21 B","40,79 B","40,15 B","50,42 B","50,62 B","46,57 B","54,27 B","36,76 B"
Caixa e eq. de caixa,"26,54 B","40,56 B","31,39 B","30,09 B","22,71 B","30,67 B","25,04 B","36,02 B","18,93 B","17,47 B","19,86 B","24,01 B","23,90 B","24,71 B","28,02 B","37,63 B","42,93 B","65,41 B","59,06 B","68,27 B","73,40 B","70,09 B","49,89 B","66,33 B","61,28 B","29,63 B","35,64 B","23,18 B","19,51 B","22,41 B","24,42 B","24,56 B","17,84 B","14,32 B","14,95 B","18,92 B","21,28 B","13,89 B","17,43 B","13,38 B","13,46 B","14,02 B","17,47 B","9,80 B","11,82 B","10,56 B","19,32 B","15,56 B","16,25 B","12,47 B","15,88 B","13,13 B","12,20 B","11,92 B","16,11 B","8,12 B","9,01 B","6,59 B","14,67 B","21,32 B","19,14 B","13,47 B","13,22 B"
Aplicações financeiras,"1,01 B","1,07 B","1,00 B","994,00 M","249,00 M","331,00 M","290,00 M","338,00 M","221,00 M","250,00 M","304,00 M","225,00 M","271,00 M","320,00 M","225,00 M","253,00 M","204,00 M","1,03 B",0,0,0,"4,01 B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,39 B",0,0,0,0,0,0,0,0
Contas a receber,"12,53 B","12,64 B","13,33 B","12,69 B","12,31 B","14,60 B","16,35 B","12,96 B","11,16 B","20,32 B","16,77 B","14,30 B","13,65 B","22,54 B","11,62 B","11,25 B","14,80 B","21,84 B","4,75 B","24,78 B","20,87 B","27,23 B","18,74 B","15,87 B","12,31 B","11,48 B","10,76 B","12,69 B","10,73 B","11,67 B","11,15 B","10,35 B","9,92 B","14,88 B","15,29 B","12,35 B","16,32 B","12,17 B","8,51 B","8,09 B","9,44 B","6,04 B","9,42 B","9,87 B","9,02 B","10,24 B","8,93 B","10,71 B","10,91 B","13,97 B","13,90 B","12,89 B","13,15 B","14,67 B","14,02 B","14,67 B","14,32 B","16,04 B","16,65 B","13,35 B","12,82 B","14,05 B","5,65 B"
Estoques,"32,02 B","32,67 B","29,61 B","28,61 B","28,25 B","28,51 B","26,94 B","26,65 B","25,96 B","22,68 B","25,61 B","25,03 B","25,36 B","23,39 B","28,48 B","27,00 B","23,87 B","24,43 B","27,66 B","23,51 B","24,35 B","21,10 B","24,42 B","22,22 B","21,26 B","17,23 B","19,28 B","18,11 B","19,13 B","17,22 B","16,24 B","15,42 B","13,18 B","12,99 B","12,93 B","12,78 B","11,54 B","10,91 B","12,66 B","12,41 B","13,53 B","13,77 B","15,13 B","13,74 B","13,04 B","11,96 B","11,83 B","10,98 B","10,76 B","9,66 B","10,17 B","11,19 B","10,88 B","10,32 B","10,43 B","10,50 B","10,16 B","9,83 B","9,98 B","8,76 B","8,31 B","7,59 B","5,91 B"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"369,75 B","375,45 B","397,27 B","397,26 B","394,73 B","412,85 B","409,07 B","399,05 B","370,46 B","365,45 B","372,15 B","366,11 B","371,06 B","372,38 B","360,56 B","357,94 B","349,10 B","374,33 B","363,84 B","356,72 B","363,54 B","351,32 B","352,18 B","344,11 B","336,02 B","300,97 B","314,04 B","305,88 B","308,13 B","282,46 B","281,69 B","280,01 B","263,06 B","265,40 B","260,42 B","259,51 B","255,33 B","249,15 B","268,07 B","265,44 B","277,76 B","285,13 B","323,09 B","277,00 B","278,61 B","255,67 B","248,97 B","233,85 B","236,82 B","234,78 B","237,56 B","235,18 B","222,61 B","220,88 B","221,66 B","212,30 B","201,77 B","196,94 B","188,68 B","171,62 B","170,75 B","160,39 B","140,97 B"
Investimentos,"26,88 B","27,67 B","27,43 B","26,11 B","26,56 B","28,16 B","22,32 B","20,65 B","9,46 B","9,06 B","9,63 B","9,16 B","9,02 B","9,38 B","9,71 B","9,38 B","9,13 B","9,77 B","11,42 B","10,99 B","10,66 B","10,56 B","11,48 B","11,34 B","11,30 B","11,28 B","12,49 B","11,94 B","12,75 B","12,50 B","12,60 B","12,44 B","12,37 B","11,80 B","12,22 B","11,93 B","12,30 B","12,05 B","12,91 B","12,72 B","12,09 B","11,48 B","12,32 B","13,06 B","12,23 B","10,98 B","11,42 B","11,25 B","12,03 B","8,40 B","8,84 B","8,42 B","12,92 B","13,04 B","16,60 B","16,04 B","15,82 B","14,98 B","10,81 B","9,77 B","9,96 B","3,94 B","4,59 B"
Imobilizado,"238,35 B","240,04 B","240,91 B","241,71 B","240,79 B","247,59 B","250,99 B","247,83 B","237,58 B","234,30 B","239,11 B","234,53 B","233,86 B","234,47 B","228,13 B","226,11 B","219,40 B","234,00 B","223,49 B","219,52 B","222,55 B","213,84 B","214,28 B","209,25 B","203,64 B","187,73 B","203,51 B","194,05 B","194,45 B","187,48 B","189,92 B","187,82 B","179,98 B","181,53 B","178,30 B","180,82 B","178,30 B","180,62 B","198,43 B","195,66 B","206,15 B","211,26 B","245,74 B","221,14 B","223,62 B","207,51 B","199,43 B","188,33 B","189,55 B","191,31 B","189,68 B","186,26 B","174,85 B","173,45 B","174,36 B","167,22 B","157,09 B","153,85 B","148,10 B","134,59 B","132,01 B","130,09 B","108,95 B"
