Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"48,68 B","59,68 B","56,70 B","49,81 B","47,41 B","59,40 B","52,98 B","51,73 B","41,89 B","64,50 B","51,96 B","47,76 B","43,84 B","62,73 B","52,08 B","54,97 B","56,72 B","73,32 B","64,42 B","86,99 B","68,79 B","76,51 B","57,91 B","40,43 B","31,25 B","41,02 B","40,66 B","36,00 B","30,95 B","37,46 B","37,86 B","31,23 B","27,93 B","29,83 B","28,60 B","23,36 B","26,74 B","30,65 B","21,83 B","21,58 B","20,57 B","15,24 B","23,35 B","21,44 B","18,03 B","23,15 B","20,63 B","22,08 B","22,41 B","29,96 B","28,19 B","22,11 B","21,23 B","24,46 B","22,74 B","24,58 B","20,46 B","29,30 B","26,79 B","23,91 B","22,02 B","26,49 B","25,68 B","18,47 B","12,58 B"
Custos,"-32,42 B","-36,58 B","-36,08 B","-34,42 B","-31,81 B","-36,76 B","-34,83 B","-33,13 B","-26,59 B","-34,09 B","-30,85 B","-29,36 B","-25,72 B","-37,60 B","-33,04 B","-29,38 B","-24,17 B","-36,29 B","-28,63 B","-28,76 B","-23,59 B","-23,17 B","-25,89 B","-22,67 B","-19,21 B","-23,18 B","-22,63 B","-20,28 B","-17,75 B","-21,94 B","-22,83 B","-19,46 B","-16,97 B","-18,83 B","-17,10 B","-16,46 B","-14,87 B","-16,87 B","-14,10 B","-15,10 B","-15,07 B","-13,80 B","-18,02 B","-15,97 B","-14,99 B","-17,54 B","-14,81 B","-13,57 B","-13,17 B","-15,18 B","-14,29 B","-12,23 B","-10,81 B","-13,56 B","-13,45 B","-12,85 B","-10,92 B","-14,05 B","-10,11 B","-9,06 B","-9,23 B","-10,38 B","-9,00 B","-7,73 B","-6,64 B"
Lucro bruto,"16,26 B","23,10 B","20,62 B","15,39 B","15,60 B","22,64 B","18,15 B","18,60 B","15,30 B","30,42 B","21,11 B","18,40 B","18,12 B","25,13 B","19,04 B","25,60 B","32,55 B","37,03 B","35,79 B","58,23 B","45,20 B","53,33 B","32,01 B","17,77 B","12,04 B","17,84 B","18,04 B","15,72 B","13,20 B","15,51 B","15,04 B","11,77 B","10,96 B","11,00 B","11,50 B","6,90 B","11,88 B","13,78 B","7,73 B","6,47 B","5,51 B","1,44 B","5,33 B","5,47 B","3,04 B","5,61 B","5,82 B","8,52 B","9,24 B","14,79 B","13,90 B","9,88 B","10,42 B","10,90 B","9,29 B","11,74 B","9,54 B","15,26 B","16,67 B","14,86 B","12,78 B","16,11 B","16,67 B","10,74 B","5,95 B"
Despesas operacionais,"-3,59 B","-29,08 B","-4,54 B","-4,40 B","-4,71 B","-18,08 B","-937,00 M","2,36 B","-2,57 B","-10,53 B","-4,61 B","-4,19 B","-3,45 B","-6,41 B","-3,79 B","-4,75 B","2,97 B","-22,61 B","-2,81 B","-6,24 B","-3,26 B","-33,83 B","-5,30 B","-9,45 B","-4,01 B","-28,36 B","-3,15 B","-11,45 B","-19,60 B","-4,22 B","-2,02 B","-2,76 B","-1,11 B","-3,33 B","-1,69 B","-2,16 B","431,51 M","-6,11 B","-933,54 M","-5,16 B","-564,10 M","-35,59 B","-3,64 B","-1,54 B","-1,70 B","-4,78 B","-2,13 B","-3,06 B","-1,64 B","-8,82 B","-2,74 B","-2,30 B","-1,69 B","-17,02 B","-3,59 B","-3,60 B","-2,22 B","-3,98 B","-2,56 B","-1,76 B","1,01 B","-3,30 B","-2,12 B","-1,69 B","-1,92 B"
Despesas com vendas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-2,46 M","-54,93 M","-54,50 M","-77,03 M","39,31 M","-90,58 M","-255,12 M","-91,01 M","-162,21 M","-264,30 M","-69,60 M","-88,59 M","-234,27 M","-133,48 M","-123,36 M","-86,86 M"
Despesas administrativas,"-800,00 M","-1,12 B","-858,00 M","-742,00 M","-845,00 M","-1,21 B","-770,00 M","-717,00 M","-696,00 M","-726,00 M","-732,00 M","-685,00 M","-615,00 M","-778,00 M","-626,00 M","-625,00 M","-629,00 M","-731,00 M","-598,00 M","-700,00 M","-572,00 M","-665,22 M","-683,85 M","-664,05 M","-515,88 M","-575,08 M","-504,52 M","-427,03 M","-417,68 M","-540,16 M","-535,09 M","-439,52 M","-401,99 M","-475,38 M","-407,79 M","-425,97 M","-388,39 M","-446,15 M","-443,46 M","-449,00 M","-415,92 M","-508,49 M","-457,88 M","-487,93 M","-554,84 M","-787,85 M","-620,43 M","-528,41 M","-666,76 M","-770,66 M","-627,82 M","-591,66 M","-626,34 M","-1,21 B","-923,81 M","-951,61 M","-843,39 M","-1,35 B","-817,78 M","-624,52 M","-608,90 M","-957,11 M","-646,74 M","-540,49 M","-478,63 M"
EBIT,"12,67 B","-5,98 B","16,08 B","10,98 B","10,89 B","4,56 B","17,21 B","20,96 B","12,73 B","19,89 B","16,50 B","14,21 B","14,67 B","18,72 B","15,24 B","20,84 B","35,52 B","14,42 B","32,98 B","52,00 B","41,94 B","19,50 B","26,71 B","8,32 B","8,02 B","-10,52 B","14,88 B","4,28 B","-6,40 B","11,30 B","13,02 B","9,01 B","9,86 B","7,67 B","9,82 B","4,74 B","12,31 B","7,67 B","6,80 B","1,31 B","4,94 B","-34,15 B","1,68 B","3,94 B","1,34 B","834,94 M","3,69 B","5,45 B","7,59 B","5,97 B","11,16 B","7,58 B","8,72 B","-6,12 B","5,70 B","8,14 B","7,33 B","11,28 B","14,11 B","13,10 B","13,79 B","12,81 B","14,56 B","9,04 B","4,03 B"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"211,00 M","-5,61 B","-1,86 B","1,00 B","1,18 B","-10,37 B","-2,07 B","-6,61 B","-2,18 B","-4,31 B","-1,92 B","-714,00 M","-2,77 B","-3,44 B","12,17 B","4,03 B","-1,38 B","17,75 B","-1,82 B","2,06 B","-185,00 M","-3,70 B","-7,38 B","-2,59 B","-10,49 B","-3,46 B","-4,56 B","-2,84 B","-2,59 B","-98,34 M","-4,96 B","-10,93 B","-2,07 B","-4,17 B","753,98 M","-4,34 B","-1,89 B","-2,05 B","-3,39 B","7,02 B","4,72 B","417,06 M","-25,85 B","1,62 B","-13,68 B","-7,16 B","-7,79 B","-128,55 M","327,63 M","-9,52 B","-1,25 B","-7,01 B","-667,00 M","-1,45 B","-1,86 B","-5,14 B","205,06 M","-1,10 B","-5,88 B","894,94 M","-267,42 M","-474,76 M","64,72 M","-1,02 B","-1,34 B"
Antes dos impostos,"12,88 B","-11,59 B","14,23 B","11,99 B","12,07 B","-5,81 B","15,14 B","14,35 B","10,55 B","15,58 B","14,58 B","13,49 B","11,90 B","15,28 B","27,41 B","24,87 B","34,14 B","32,17 B","31,16 B","54,06 B","41,76 B","15,81 B","19,33 B","5,73 B","-2,47 B","-13,98 B","10,33 B","1,44 B","-8,99 B","11,20 B","8,06 B","-1,92 B","7,78 B","3,50 B","10,57 B","402,76 M","10,41 B","5,62 B","3,41 B","8,33 B","9,66 B","-33,73 B","-24,17 B","5,56 B","-12,34 B","-6,33 B","-4,10 B","5,33 B","7,92 B","-3,55 B","9,91 B","568,36 M","8,06 B","-7,58 B","3,84 B","3,00 B","7,53 B","10,18 B","8,23 B","13,99 B","13,52 B","12,33 B","14,62 B","8,03 B","2,70 B"
