Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
P/L,"13,26","18,91","2,94","5,10","8,80","8,42",-,-,-,-,-,-
P/VP,"1,83","1,84","0,92","1,54","1,07","1,71",-,-,-,-,-,-
P/EBIT,"6,72","7,85","2,13","3,22","3,41","8,07",-,-,-,-,-,-
P/EBIT *,"7,57","8,32","4,12","5,08","3,29","5,92",-,-,-,-,-,-
PSR,"0,21","0,20","0,11","0,15","0,07","0,16",-,-,-,-,-,-
P/Ativos,"0,62","0,62","0,38","0,56","0,33","0,62",-,-,-,-,-,-
LPA,"2,51","1,67","5,31","3,98","1,28","2,08",-,-,-,-,-,-
VPA,"18,13","17,19","17,01","13,12","10,52","10,27",-,-,-,-,-,-
EBIT por ação,"4,95","4,03","7,32","6,29","3,30","2,17",-,-,-,-,-,-
EBIT por ação *,"4,39","3,80","3,79","3,99","3,43","2,97",-,-,-,-,-,-
Ativo por ação,"53,59","50,86","40,88","36,28","34,30","28,27",-,-,-,-,-,-
Receita líquida por ação,"160,38","157,75","143,73","135,95","151,39","108,56",-,-,-,-,-,-
Margem bruta,"5,18%","4,88%","4,78%","5,13%","4,13%","5,27%","5,47%","6,27%","5,99%","7,53%","7,46%","7,52%"
Margem líquida,"1,56%","1,05%","3,70%","2,92%","0,85%","1,92%","4,79%","2,33%","3,27%","1,36%","-0,36%","-1,19%"
Margem EBIT,"3,09%","2,55%","5,09%","4,63%","2,18%","2,00%","5,60%","1,38%","2,44%","2,51%","-0,02%","-1,68%"
Margem EBIT *,"2,74%","2,41%","2,64%","2,94%","2,26%","2,73%","2,10%","2,18%","2,19%","3,05%","2,07%","0,04%"
Margem EBITDA,"3,67%","3,12%","5,41%","4,97%","2,49%","2,43%","6,26%","1,94%","2,87%","3,04%","0,51%","-1,20%"
Margem EBITDA *,"3,32%","2,98%","2,96%","3,28%","2,57%","3,16%","2,75%","2,74%","2,62%","3,59%","2,59%","0,52%"
Margem operacional,"1,90%","1,30%","4,96%","3,96%","1,06%","2,44%","5,93%","3,48%","4,92%","1,85%","-0,74%","-1,99%"
ROE,"13,69%","9,54%","31,23%","30,30%","12,19%","20,29%","31,99%","25,22%","32,97%","13,04%","-4,25%","-11,70%"
ROA,"0,05","0,03","0,13","0,11","0,04","0,07","0,14","0,09","0,13","0,05","-0,01","-0,04"
ROIC,"11,15%","9,23%","24,30%","23,34%","12,44%","9,67%","20,05%","6,19%","11,89%","10,30%","-0,05%","-5,97%"
ROIC *,"9,90%","8,71%","12,59%","14,80%","12,91%","13,19%","7,50%","9,78%","10,68%","12,53%","6,38%","0,14%"
Giro do ativo,"2,99","3,10","3,52","3,75","4,41","3,84","2,88","3,67","3,86","3,56","2,76","3,11"
EBIT *,5.264 mi,4.557 mi,4.545 mi,4.784 mi,4.108 mi,3.554 mi,1.708 mi,2.073 mi,2.143 mi,2.580 mi,1.792 mi,39 mi
EBITDA,7.048 mi,5.894 mi,9.323 mi,8.097 mi,4.514 mi,3.165 mi,5.103 mi,1.841 mi,2.803 mi,2.574 mi,439 mi,-1.165 mi
EBITDA *,6.379 mi,5.625 mi,5.099 mi,5.338 mi,4.661 mi,4.113 mi,2.245 mi,2.601 mi,2.560 mi,3.032 mi,2.246 mi,510 mi
Liquidez corrente,"1,77","1,95","3,04","2,36","2,31","2,42","1,92","1,42","2,81","2,43","2,18","2,30"
Liquidez seca,"1,33","1,45","2,32","1,77","1,61","1,65","1,41","1,02","2,17","1,69","1,71","1,79"
Liquidez imediata,"0,35","0,31","1,23","0,67","0,43","0,49","0,48","0,27","0,67","0,11","0,12","0,14"
Dívida bruta,23.259 mi,23.216 mi,20.808 mi,15.518 mi,17.391 mi,13.833 mi,8.553 mi,6.775 mi,5.572 mi,4.712 mi,12.909 mi,13.023 mi
Dívida líquida,18.152 mi,19.569 mi,10.328 mi,8.852 mi,13.246 mi,10.208 mi,5.195 mi,4.413 mi,2.515 mi,4.229 mi,12.254 mi,12.213 mi
Capital de giro,11.229 mi,11.142 mi,17.327 mi,13.603 mi,12.620 mi,10.421 mi,6.409 mi,3.626 mi,8.242 mi,6.290 mi,6.660 mi,7.252 mi
Endividamento geral,"194,06%","193,93%","140,37%","176,40%","225,93%","175,30%","132,06%","195,07%","161,67%","169,23%","323,72%","214,77%"
