Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,4T2018
Ativo total,"966,54 M","935,99 M","929,75 M","910,74 M","985,80 M","953,18 M","903,23 M","847,13 M","917,88 M","925,76 M","916,57 M","850,00 M","960,63 M","958,47 M","963,12 M","880,52 M","879,45 M","845,78 M","915,61 M","677,05 M","684,57 M","620,75 M","593,32 M","478,62 M","534,39 M","459,69 M","409,93 M"
Ativo circulante,"601,07 M","575,95 M","567,37 M","530,45 M","621,80 M","590,29 M","547,72 M","476,67 M","563,33 M","571,63 M","573,90 M","505,12 M","640,75 M","648,35 M","649,17 M","579,87 M","616,63 M","601,90 M","675,94 M","434,94 M","477,49 M","427,08 M","417,72 M","330,67 M","399,17 M","339,39 M","317,29 M"
Caixa e eq. de caixa,"49,98 M","47,96 M","76,03 M","63,61 M","17,70 M","54,47 M","59,84 M","38,79 M","17,64 M","82,83 M","65,15 M","45,13 M","32,59 M","88,63 M","76,98 M","67,97 M","13,91 M","90,00 M","149,28 M","39,96 M","28,56 M","46,41 M","41,87 M","35,76 M","44,34 M","37,23 M","18,41 M"
Aplicações financeiras,0,0,0,0,"577,00 Mil","4,16 M","41,00 Mil","2,30 M","70,00 Mil",0,0,0,"155,00 Mil","1,05 M","2,73 M","2,08 M","964,00 Mil","3,13 M","3,78 M","2,81 M","9,62 M","8,97 M","14,88 M","16,45 M","23,98 M","3,17 M","2,85 M"
Contas a receber,"345,33 M","327,88 M","264,76 M","179,74 M","372,71 M","337,38 M","267,88 M","182,07 M","346,94 M","304,18 M","282,76 M","183,97 M","383,75 M","344,86 M","314,55 M","274,74 M","401,25 M","341,08 M","309,40 M","189,10 M","298,87 M","261,12 M","229,84 M","165,76 M","244,55 M","218,52 M","205,54 M"
Estoques,"172,80 M","157,79 M","205,26 M","259,54 M","196,65 M","161,28 M","178,19 M","212,29 M","168,79 M","154,34 M","197,53 M","241,30 M","191,64 M","179,14 M","213,97 M","199,28 M","172,50 M","142,74 M","176,86 M","152,28 M","97,81 M","78,80 M","104,47 M","92,82 M","68,27 M","61,75 M","81,00 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"365,47 M","360,04 M","362,38 M","380,29 M","364,00 M","362,89 M","355,51 M","370,46 M","354,56 M","354,12 M","342,67 M","344,88 M","319,88 M","310,12 M","313,95 M","300,65 M","262,82 M","243,88 M","239,67 M","242,12 M","207,09 M","193,67 M","175,60 M","147,96 M","135,22 M","120,30 M","92,64 M"
Investimentos,"255,00 Mil","255,00 Mil","255,00 Mil","256,00 Mil","255,00 Mil","256,00 Mil","255,00 Mil","255,00 Mil","253,00 Mil","256,00 Mil","263,00 Mil","263,00 Mil","262,00 Mil","255,00 Mil","255,00 Mil","254,00 Mil","254,00 Mil","254,00 Mil","254,00 Mil","255,00 Mil","255,00 Mil","344,00 Mil","335,00 Mil","20,00 Mil","20,00 Mil","20,00 Mil","20,00 Mil"
Imobilizado,"325,55 M","325,22 M","323,41 M","329,70 M","325,68 M","326,00 M","320,86 M","316,79 M","311,69 M","308,95 M","301,24 M","294,81 M","282,06 M","269,86 M","264,71 M","253,37 M","213,02 M","200,86 M","193,86 M","182,74 M","173,15 M","165,80 M","152,68 M","128,17 M","116,08 M","102,50 M","68,88 M"
