Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019
Ativo total,"4,68 B","4,72 B","4,70 B","4,29 B","4,23 B","4,27 B","3,61 B","3,44 B","3,21 B","3,24 B","3,02 B","2,97 B","2,88 B","2,93 B","2,68 B","2,55 B","2,53 B","2,56 B","2,37 B","2,18 B","1,99 B","2,14 B","1,91 B","1,85 B","1,83 B","1,88 B","1,27 B","1,27 B"
Ativo circulante,"2,96 B","3,06 B","3,03 B","2,70 B","2,65 B","2,78 B","2,25 B","2,12 B","2,00 B","2,06 B","1,73 B","1,75 B","1,68 B","1,76 B","1,50 B","1,47 B","1,50 B","1,58 B","1,40 B","1,31 B","1,20 B","1,42 B","1,29 B","1,24 B","1,21 B","1,32 B","729,11 M","739,04 M"
Caixa e eq. de caixa,"308,47 M","365,43 M","234,36 M","186,09 M","149,94 M","278,15 M","298,90 M","274,12 M","270,20 M","221,50 M","69,52 M","78,46 M","121,46 M","160,04 M","101,67 M","164,94 M","246,37 M","325,59 M","387,13 M","361,17 M","365,93 M","492,61 M","519,41 M","584,68 M","472,79 M","435,84 M","87,70 M","66,73 M"
Aplicações financeiras,0,"33,21 M",0,0,"27,14 M","4,53 M","15,16 M","67,74 M","95,28 M","82,99 M","137,32 M","128,67 M","170,13 M","155,14 M","107,62 M","111,43 M","147,31 M","141,71 M","78,65 M","68,80 M","48,85 M","44,44 M","65,82 M",0,0,0,"616,48 Mil","607,56 Mil"
Contas a receber,"899,09 M","989,60 M","820,66 M","785,28 M","751,03 M","955,21 M","664,11 M","734,68 M","647,68 M","830,83 M","558,87 M","603,77 M","515,48 M","663,80 M","446,81 M","491,51 M","423,38 M","531,78 M","345,36 M","366,66 M","285,00 M","410,26 M","226,70 M","212,01 M","281,89 M","425,83 M","190,61 M","224,72 M"
Estoques,"1,55 B","1,48 B","1,62 B","1,50 B","1,50 B","1,33 B","1,06 B","884,93 M","841,01 M","782,71 M","876,45 M","851,36 M","802,73 M","709,71 M","774,75 M","646,09 M","620,11 M","527,14 M","525,70 M","443,72 M","410,61 M","365,18 M","367,38 M","360,53 M","384,29 M","348,03 M","364,30 M","366,88 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,71 B","1,66 B","1,67 B","1,58 B","1,58 B","1,49 B","1,36 B","1,32 B","1,21 B","1,19 B","1,29 B","1,22 B","1,20 B","1,17 B","1,18 B","1,08 B","1,04 B","980,65 M","968,22 M","860,87 M","781,49 M","718,43 M","615,98 M","611,31 M","616,86 M","560,35 M","536,27 M","528,72 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,87 M","1,94 M"
Imobilizado,"957,47 M","955,35 M","955,64 M","865,70 M","875,20 M","853,17 M","827,39 M","798,61 M","787,75 M","765,75 M","738,28 M","701,40 M","675,45 M","652,16 M","615,82 M","550,43 M","500,87 M","480,99 M","432,31 M","389,12 M","359,07 M","340,76 M","334,21 M","324,80 M","322,16 M","311,42 M","270,13 M","264,20 M"
Intangível,"55,84 M","59,94 M","62,46 M","65,18 M","67,92 M","67,33 M","78,49 M","72,76 M","62,91 M","59,19 M","55,74 M","50,40 M","43,90 M","42,24 M","36,93 M","26,24 M","28,75 M","29,87 M","13,88 M","11,36 M","10,41 M","9,13 M","13,90 M","9,03 M","9,71 M","9,74 M","9,94 M","8,46 M"
Passivo total,"4,68 B","4,72 B","4,70 B","4,29 B","4,23 B","4,27 B","3,61 B","3,44 B","3,21 B","3,24 B","3,02 B","2,97 B","2,88 B","2,93 B","2,68 B","2,55 B","2,53 B","2,56 B","2,37 B","2,18 B","1,99 B","2,14 B","1,91 B","1,85 B","1,83 B","1,88 B","1,27 B","1,27 B"
Passivo circulante,"715,12 M","843,95 M","586,29 M","655,01 M","746,56 M","995,69 M","761,20 M","692,06 M","677,31 M","695,59 M","576,75 M","621,69 M","648,28 M","726,25 M","529,42 M","542,93 M","612,67 M","674,30 M","565,69 M","457,92 M","302,05 M","589,04 M","477,44 M","506,83 M","403,55 M","458,81 M","333,57 M","339,84 M"
Fornecedores,"126,27 M","194,08 M","212,49 M","173,39 M","163,90 M","372,87 M","259,83 M","210,55 M","143,56 M","103,15 M","131,02 M","214,87 M","179,72 M","145,21 M","187,67 M","167,52 M","171,99 M","157,56 M","202,24 M","124,28 M","44,18 M","53,20 M","9,04 M","18,60 M","24,79 M","36,42 M","30,16 M","38,92 M"
Empréstimos e financ.,"214,78 M","232,97 M","42,54 M","159,49 M","141,16 M","113,37 M","140,97 M","126,08 M","126,09 M","111,46 M","141,78 M","100,59 M","101,95 M","116,97 M","75,37 M","114,01 M","151,60 M","127,18 M","155,02 M","112,78 M","61,86 M","277,82 M","275,02 M","303,00 M","236,25 M","190,93 M","177,32 M","178,32 M"
Passivo não circulante,"930,26 M","929,18 M","1,18 B","868,68 M","869,77 M","781,10 M","564,75 M","578,00 M","562,70 M","612,28 M","569,40 M","547,47 M","541,79 M","547,97 M","565,98 M","491,69 M","481,62 M","496,84 M","460,30 M","460,85 M","508,96 M","380,18 M","317,44 M","267,09 M","316,91 M","330,99 M","327,28 M","363,05 M"
Emprést. de longo prazo,"298,39 M","298,30 M","508,99 M","316,82 M","328,31 M","285,19 M","90,00 M","107,56 M","100,00 M","160,00 M","132,60 M","120,00 M","120,00 M","108,19 M","159,79 M","118,27 M","133,86 M","164,04 M","135,88 M","174,01 M","233,36 M","112,50 M","55,00 M","17,50 M","62,67 M","79,42 M","103,09 M","345,03 M"
Patrimônio líquido,"3,03 B","2,95 B","2,94 B","2,76 B","2,61 B","2,50 B","2,28 B","2,17 B","1,97 B","1,93 B","1,88 B","1,80 B","1,69 B","1,66 B","1,58 B","1,52 B","1,44 B","1,39 B","1,34 B","1,26 B","1,18 B","1,17 B","1,12 B","1,08 B","1,11 B","1,09 B","604,53 M","564,87 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
