Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020
P/L,"9,19","9,88","6,81","15,14","13,24","20,01","35,83"
P/VP,"1,78","2,07","1,78","2,89","2,88","4,29","4,49"
P/EBIT,"7,40","8,43","6,51","12,41","12,70","20,27","25,63"
P/EBIT *,"7,25","8,31","7,34","12,95","12,67","19,65","26,47"
PSR,"1,75","2,02","1,73","2,56","2,59","4,07","5,02"
P/Ativos,"1,15","1,30","1,04","1,72","1,63","2,33","2,46"
LPA,"2,48","2,62","2,77","1,56","1,53","1,26","0,62"
VPA,"12,83","12,49","10,57","8,19","7,02","5,90","4,96"
EBIT por ação,"3,08","3,08","2,89","1,91","1,59","1,25","0,87"
EBIT por ação *,"3,14","3,12","2,57","1,83","1,60","1,29","0,84"
Ativo por ação,"19,80","19,99","18,09","13,72","12,41","10,85","9,06"
Receita líquida por ação,"13,06","12,81","10,91","9,26","7,81","6,21","4,43"
Margem bruta,"69,94%","69,55%","70,23%","69,32%","68,89%","67,61%","68,49%"
Margem líquida,"19,00%","20,47%","25,35%","16,88%","19,57%","20,36%","14,00%"
Margem EBIT,"23,57%","24,00%","26,53%","20,61%","20,41%","20,10%","19,58%"
Margem EBIT *,"24,06%","24,34%","23,51%","19,74%","20,46%","20,73%","18,95%"
Margem EBITDA,"31,11%","29,05%","32,52%","26,74%","26,59%","24,99%","25,14%"
Margem EBITDA *,"31,60%","29,39%","29,51%","25,87%","26,64%","25,63%","24,51%"
Margem operacional,"18,56%","19,42%","24,30%","18,33%","17,95%","17,95%","15,61%"
ROE,"19,35%","21,00%","26,17%","19,09%","21,77%","21,43%","12,52%"
ROA,"0,13","0,13","0,15","0,11","0,12","0,12","0,07"
ROIC,"17,15%","17,59%","18,89%","15,90%","15,23%","15,20%","13,23%"
ROIC *,"17,50%","17,84%","16,75%","15,23%","15,26%","15,68%","12,80%"
Giro do ativo,"0,66","0,64","0,60","0,67","0,63","0,57","0,49"
EBIT *,742 mi,736 mi,605 mi,431 mi,377 mi,304 mi,198 mi
EBITDA,959 mi,879 mi,838 mi,584 mi,490 mi,366 mi,263 mi
EBITDA *,974 mi,889 mi,760 mi,565 mi,491 mi,375 mi,256 mi
Liquidez corrente,"4,14","3,63","2,79","2,96","2,42","2,35","2,41"
Liquidez seca,"1,98","1,88","1,46","1,83","1,45","1,57","1,79"
Liquidez imediata,"0,43","0,43","0,28","0,32","0,22","0,48","0,84"
Dívida bruta,513 mi,531 mi,398 mi,271 mi,225 mi,291 mi,390 mi
Dívida líquida,204 mi,132 mi,115 mi,-34 mi,-91 mi,-177 mi,-147 mi
Capital de giro,2.247 mi,2.220 mi,1.786 mi,1.360 mi,1.034 mi,908 mi,833 mi
Endividamento geral,"54,30%","60,11%","71,16%","67,63%","76,86%","84,09%","82,73%"
