Conta,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"5,89 M","3,28 M","9,38 M","10,23 M","14,79 M","21,96 M","64,73 M","11,25 M","21,17 M","18,37 M","11,64 M","18,36 M","34,57 M","47,05 M","26,71 M","13,65 M","6,26 M","19,02 M","18,82 M","23,87 M","16,64 M","7,65 M","10,08 M","9,64 M","-37,34 M","-48,52 M","-55,84 M","-3,56 M","68,52 M","4,68 M","9,52 M","2,31 M","3,35 M","142,00 Mil","-2,87 M","5,31 M","-4,24 M","-54,06 M","23,27 M","17,07 M","10,48 M","45,74 M","25,62 M","30,15 M","9,17 M","47,89 M","55,12 M","46,15 M","306,62 M","99,40 M","65,67 M","47,12 M","18,25 M","-22,98 M","92,39 M","168,25 M","95,98 M","176,53 M","227,73 M","181,65 M","248,62 M","202,00 M","167,49 M","160,20 M"
Custos,"-5,13 M","-1,92 M","-6,86 M","-8,09 M","-10,48 M","-15,83 M","-43,93 M","-8,78 M","-11,08 M","-11,88 M","-11,86 M","-16,91 M","-22,22 M","-29,22 M","-21,09 M","-10,56 M","-8,00 M","-16,72 M","-12,72 M","-17,93 M","-20,40 M","-9,53 M","-18,21 M","-9,91 M","32,26 M","34,93 M","40,72 M","1,78 M","-96,71 M","-5,61 M","-9,95 M","-5,01 M","539,00 Mil","-2,81 M","-3,74 M","-8,81 M","-8,44 M","27,62 M","-37,99 M","-39,60 M","-17,78 M","-56,48 M","-48,79 M","-44,93 M","-45,41 M","-51,30 M","-79,64 M","-57,84 M","-325,67 M","-133,46 M","-69,81 M","-41,86 M","-156,01 M","-83,23 M","-100,41 M","-140,67 M","-145,60 M","-133,70 M","-174,18 M","-133,45 M","-173,17 M","-138,96 M","-123,77 M","-120,23 M"
Lucro bruto,"757,00 Mil","1,36 M","2,51 M","2,14 M","4,30 M","6,13 M","20,80 M","2,46 M","10,09 M","6,49 M","-218,00 Mil","1,46 M","12,35 M","17,83 M","5,61 M","3,09 M","-1,74 M","2,30 M","6,11 M","5,94 M","-3,76 M","-1,88 M","-8,12 M","-272,00 Mil","-5,08 M","-13,59 M","-15,13 M","-1,77 M","-28,19 M","-931,00 Mil","-430,00 Mil","-2,70 M","3,89 M","-2,67 M","-6,61 M","-3,50 M","-12,67 M","-26,44 M","-14,71 M","-22,53 M","-7,30 M","-10,74 M","-23,17 M","-14,78 M","-36,24 M","-3,41 M","-24,52 M","-11,69 M","-19,05 M","-34,06 M","-4,15 M","5,26 M","-137,76 M","-106,21 M","-8,02 M","27,58 M","-49,62 M","42,83 M","53,55 M","48,20 M","75,45 M","63,05 M","43,72 M","39,97 M"
Despesas operacionais,"7,54 M","-7,16 M","-9,57 M","-6,91 M","-162,29 M","-15,56 M","-33,44 M","-21,30 M","-24,01 M","-28,79 M","-15,75 M","-21,09 M","-58,35 M","-16,72 M","-18,27 M","-11,84 M","-41,55 M","-18,18 M","-2,89 M","48,00 Mil","-53,69 M","-69,46 M","-5,87 M","-3,15 M","-24,29 M","-50,67 M","-53,58 M","-523,00 Mil","-25,25 M","1,39 M","-25,64 M","-3,88 M","-30,34 M","-13,27 M","-30,29 M","-15,73 M","-93,81 M","-21,88 M","-22,34 M","-32,32 M","-34,32 M","-27,40 M","-25,35 M","-14,73 M","-20,34 M","-9,32 M","-43,86 M","-3,31 M","-33,73 M","-11,61 M","-16,85 M","-21,59 M","-24,72 M","-52,00 M","-19,85 M","-26,82 M","-54,57 M","-32,66 M","-34,45 M","-31,50 M","-48,47 M","-26,57 M","-27,55 M","-24,51 M"
Despesas com vendas,"-282,00 Mil","-276,00 Mil","-263,00 Mil","-483,00 Mil","-538,00 Mil","-821,00 Mil","-928,00 Mil","-1,00 M","-1,99 M","-1,60 M","-2,98 M","-1,72 M","-2,26 M","-1,74 M","-1,64 M","-925,00 Mil","-2,50 M","-1,33 M","-1,79 M","-960,00 Mil","-458,00 Mil","-422,00 Mil","-526,00 Mil","-3,11 M","-3,38 M","-3,79 M","-876,00 Mil","-617,00 Mil","-533,00 Mil","-726,00 Mil","-901,00 Mil","-696,00 Mil","-594,00 Mil","-688,00 Mil","-880,00 Mil","-821,00 Mil","-660,00 Mil","-1,23 M","-1,39 M","-1,79 M","-5,16 M","-2,22 M","-2,19 M","-2,68 M","-4,08 M","-4,37 M","-2,35 M","-1,83 M","-3,58 M","-4,39 M","-3,71 M","-4,38 M","-12,75 M","-7,37 M","-9,54 M","-9,00 M","-13,80 M","-15,59 M","-18,65 M","-11,43 M","-19,02 M","-11,68 M","-14,60 M","-11,63 M"
Despesas administrativas,"-3,91 M","-3,76 M","-4,11 M","-5,09 M","-6,66 M","-7,30 M","-6,73 M","-7,22 M","-9,40 M","-9,89 M","-10,71 M","-9,26 M","-11,47 M","-10,36 M","-6,74 M","-12,69 M","-10,47 M","-20,89 M","-9,61 M","-7,14 M","-11,30 M","-7,09 M","-5,95 M","-5,00 M","-5,42 M","-5,45 M","-8,37 M","-5,19 M","-7,96 M","-6,81 M","-5,94 M","-4,72 M","-12,30 M","-5,68 M","-6,39 M","-6,43 M","-5,21 M","-5,34 M","-6,41 M","-5,75 M","-7,22 M","-7,26 M","-9,21 M","-8,02 M","-10,93 M","-8,43 M","-9,74 M","-9,89 M","-11,53 M","-9,93 M","-13,60 M","-14,65 M","-16,80 M","-20,04 M","-19,90 M","-18,61 M","-15,59 M","-17,24 M","-14,86 M","-16,64 M","-26,72 M","-16,91 M","-14,65 M","-15,17 M"
EBIT,"8,30 M","-5,80 M","-7,06 M","-4,76 M","-157,99 M","-9,43 M","-12,65 M","-18,84 M","-13,93 M","-22,30 M","-15,96 M","-19,64 M","-46,00 M","1,11 M","-12,66 M","-8,75 M","-43,28 M","-15,88 M","3,22 M","5,99 M","-57,45 M","-71,34 M","-14,00 M","-3,42 M","-29,36 M","-64,25 M","-68,71 M","-2,30 M","-53,43 M","456,00 Mil","-26,07 M","-6,58 M","-26,45 M","-15,94 M","-36,90 M","-19,23 M","-106,48 M","-48,32 M","-37,05 M","-54,85 M","-41,62 M","-38,14 M","-48,52 M","-29,51 M","-56,58 M","-12,73 M","-68,38 M","-15,00 M","-52,78 M","-45,67 M","-21,00 M","-16,34 M","-162,48 M","-158,21 M","-27,87 M","761,00 Mil","-104,19 M","10,16 M","19,10 M","16,70 M","26,98 M","36,47 M","16,17 M","15,46 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-7,13 M","329,00 Mil","-440,00 Mil","68,00 Mil","-8,16 M","-648,00 Mil","-600,00 Mil","-209,00 Mil","-493,00 Mil","-1,29 M","1,03 M","363,00 Mil","591,00 Mil","504,00 Mil","5,40 M","665,00 Mil","56,00 Mil","-1,81 M","-649,00 Mil","-5,69 M","-6,95 M","-9,26 M","-12,88 M","-6,90 M","-17,45 M","-15,60 M","-10,49 M","-12,45 M","-17,62 M","-72,30 M","-1,05 M","-14,06 M","1,64 M","-14,24 M","-49,11 M","-8,76 M","3,63 M","-35,20 M","-36,71 M","-34,64 M","-50,87 M","-18,71 M","-18,49 M","-13,55 M","-8,58 M","-14,48 M","-34,98 M","-19,69 M","-67,85 M","-27,58 M","-25,31 M","-16,77 M","-32,35 M","-24,06 M","-12,43 M","-13,75 M","-14,27 M","-15,54 M","-3,52 M","-1,67 M","1,13 M","-257,00 Mil","3,88 M","-5,17 M"
Antes dos impostos,"1,17 M","-5,47 M","-7,50 M","-4,70 M","-166,15 M","-10,08 M","-13,25 M","-19,05 M","-14,42 M","-23,59 M","-14,94 M","-19,27 M","-45,41 M","1,61 M","-7,25 M","-8,08 M","-43,23 M","-17,69 M","2,57 M","296,00 Mil","-64,39 M","-80,60 M","-26,88 M","-10,32 M","-46,81 M","-79,85 M","-79,20 M","-14,75 M","-71,05 M","-71,84 M","-27,13 M","-20,64 M","-24,81 M","-30,18 M","-86,01 M","-27,99 M","-102,86 M","-83,52 M","-73,76 M","-89,49 M","-92,49 M","-56,85 M","-67,01 M","-43,06 M","-65,16 M","-27,21 M","-103,36 M","-34,68 M","-120,63 M","-73,25 M","-46,31 M","-33,11 M","-194,83 M","-182,26 M","-40,31 M","-12,98 M","-118,46 M","-5,37 M","15,58 M","15,03 M","28,11 M","36,22 M","20,05 M","10,29 M"
