Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"21,52","14,04","14,63","13,21","11,28","11,33","11,56","5,26","9,35","8,02","9,98","7,26","8,94","7,78","7,85",-,-
P/VP,"1,93","1,12","1,06","0,79","1,01","0,78","0,82","0,66","0,62","0,47","0,50","0,80","0,77","0,78","0,79",-,-
P/EBIT,"13,46","8,98","9,29","8,18","9,94","8,21","8,01","4,97","6,50","5,15","6,51","7,01","6,81","4,81","5,89",-,-
P/EBIT *,"13,90","9,35","10,09","8,95","13,97","8,95","8,36","6,71","5,86","5,09","5,89","6,51","6,25","5,31","6,38",-,-
PSR,"2,23","1,40","1,41","1,12","1,60","1,25","1,31","1,08","1,00","0,77","0,85","1,02","0,96","1,02","1,17",-,-
P/Ativos,"1,04","0,62","0,61","0,45","0,61","0,50","0,53","0,46","0,43","0,32","0,34","0,49","0,48","0,49","0,52",-,-
LPA,"1,91","1,72","1,56","1,27","1,93","1,48","1,55","2,77","1,43","1,27","1,06","1,53","1,15","1,38","1,35",-,-
VPA,"21,30","21,61","21,56","21,20","21,67","21,56","21,84","22,19","21,53","21,46","21,25","13,93","13,29","13,85","13,43",-,-
EBIT por ação,"3,06","2,69","2,45","2,04","2,20","2,04","2,24","2,93","2,06","1,97","1,62","1,59","1,51","2,24","1,80",-,-
EBIT por ação *,"2,96","2,58","2,26","1,87","1,56","1,87","2,14","2,17","2,28","1,99","1,80","1,71","1,65","2,02","1,66",-,-
Ativo por ação,"39,69","38,72","37,42","36,92","35,85","33,70","33,56","31,79","31,42","31,63","31,52","22,64","21,54","21,77","20,30",-,-
Receita líquida por ação,"18,47","17,31","16,15","14,89","13,65","13,37","13,72","13,47","13,39","13,17","12,49","10,85","10,76","10,51","9,03",-,-
Margem bruta,"44,75%","43,86%","43,54%","42,90%","43,72%","47,38%","49,94%","51,62%","53,08%","51,01%","49,50%","50,79%","49,48%","51,19%","48,37%","44,01%","42,48%"
