Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,91","6,30","4,75","5,86","25,27","7,36","-2,73","10,39","11,28","36,56","12,69","10,87","20,08","18,53","17,78","10,83","9,04","11,74"
P/VP,"0,84","0,96","1,01","0,96","0,50","0,48","0,52","0,51","1,05","1,03","1,14","1,36","3,74","3,13","3,57","2,41","1,86","2,21"
P/EBIT,"5,28","5,52","3,78","3,19","2,04","3,69","-5,05","4,33","7,39","10,80","9,90","7,69","12,78","12,77","11,28","7,78","6,17","7,46"
P/EBIT *,"4,35","5,08","4,62","2,70","1,64","2,67","8,02","2,97","5,61","6,74","6,18","6,75","11,08","10,10","10,41","7,81","6,12","7,22"
PSR,"0,72","0,80","0,83","0,55","0,33","0,38","0,28","0,28","0,65","0,64","0,65","0,88","1,71","1,45","2,04","1,39","1,12","1,22"
P/Ativos,"0,47","0,52","0,61","0,49","0,23","0,20","0,19","0,22","0,50","0,49","0,54","0,67","1,71","1,45","1,67","1,32","1,06","1,22"
LPA,"2,98","3,19","4,65","2,61","0,30","1,01","-2,47","0,66","1,22","0,34","1,08","1,63","1,35","1,12","1,26","1,37","1,15","0,90"
VPA,"20,95","20,86","21,93","15,87","15,10","15,38","12,99","13,43","13,10","11,96","11,98","13,02","7,22","6,64","6,26","6,15","5,56","4,75"
EBIT por ação,"3,33","3,64","5,84","4,79","3,70","2,02","-1,34","1,59","1,87","1,15","1,38","2,30","2,11","1,63","1,98","1,90","1,68","1,41"
EBIT por ação *,"4,05","3,95","4,79","5,66","4,62","2,79","0,84","2,32","2,46","1,84","2,22","2,62","2,44","2,06","2,15","1,89","1,69","1,46"
Ativo por ação,"37,17","38,46","35,97","31,11","32,54","37,85","35,06","30,77","27,46","25,17","25,35","26,35","15,84","14,33","13,39","11,19","9,79","8,67"
Receita líquida por ação,"24,55","25,20","26,53","27,56","22,97","19,75","23,70","24,54","21,19","19,24","21,06","20,01","15,84","14,36","10,96","10,68","9,25","8,63"
Margem bruta,"34,81%","33,68%","35,79%","36,48%","35,63%","30,40%","17,68%","21,97%","24,40%","22,45%","25,91%","26,30%","27,53%","25,70%","30,38%","28,05%","26,00%","23,45%"
Margem líquida,"12,48%","13,03%","17,48%","9,34%","0,82%","5,01%","-10,40%","2,68%","5,77%","1,76%","5,13%","8,13%","8,50%","7,81%","11,47%","12,80%","12,41%","10,39%"
Margem EBIT,"13,59%","14,44%","22,02%","17,37%","16,10%","10,23%","-5,64%","6,49%","8,80%","5,95%","6,57%","11,49%","13,35%","11,33%","18,07%","17,82%","18,18%","16,36%"
Margem EBIT *,"16,49%","15,69%","18,04%","20,53%","20,10%","14,12%","3,55%","9,44%","11,61%","9,55%","10,52%","13,08%","15,40%","14,32%","19,59%","17,74%","18,32%","16,90%"
Margem EBITDA,"19,60%","20,19%","26,87%","22,71%","22,45%","16,88%","2,21%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,"22,51%","21,44%","22,88%","25,87%","26,45%","20,76%","11,40%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"11,73%","11,36%","20,07%","12,11%","6,18%","6,01%","-10,03%","3,48%","7,29%","4,09%","3,91%","10,62%","11,54%","10,23%","16,78%","16,64%","14,69%","11,99%"
ROE,"14,54%","15,61%","20,84%","15,82%","1,22%","6,20%","-18,12%","4,81%","9,19%","2,80%","8,91%","12,34%","18,65%","16,88%","20,07%","22,22%","20,64%","18,86%"
ROA,"0,08","0,09","0,13","0,08","0,01","0,03","-0,07","0,02","0,04","0,01","0,04","0,06","0,09","0,08","0,09","0,12","0,12","0,10"
ROIC,"12,40%","13,48%","22,22%","20,17%","14,46%","6,73%","-5,12%","6,46%","8,36%","5,69%","7,22%","10,61%","16,43%","13,91%","17,53%","22,87%","22,12%","20,19%"
ROIC *,"15,05%","14,64%","18,20%","23,84%","18,06%","9,28%","3,22%","9,39%","11,02%","9,13%","11,56%","12,08%","18,95%","17,59%","19,00%","22,77%","22,29%","20,86%"
Giro do ativo,"0,66","0,66","0,74","0,89","0,71","0,52","0,68","0,80","0,77","0,76","0,83","0,76","1,00","1,00","0,82","0,95","0,94","1,00"
EBIT *,331 mi,323 mi,391 mi,463 mi,377 mi,228 mi,68 mi,189 mi,201 mi,150 mi,181 mi,214 mi,199 mi,168 mi,175 mi,155 mi,138 mi,119 mi
EBITDA,393 mi,416 mi,583 mi,512 mi,421 mi,272 mi,42 mi,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,452 mi,442 mi,496 mi,583 mi,497 mi,335 mi,221 mi,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,"2,32","2,42","2,88","2,30","1,87","1,55","1,20","1,71","2,07","1,92","1,66","1,99","2,05","2,90","1,54","2,10","2,03","3,56"
Liquidez seca,"1,96","2,06","2,37","1,81","1,38","1,17","0,95","1,35","1,75","1,65","1,42","1,58","1,63","2,28","1,18","1,65","1,57","2,65"
Liquidez imediata,"0,98","1,06","1,06","0,77","0,52","0,46","0,45","0,50","0,67","0,66","0,73","0,55","0,60","0,80","0,43","0,77","0,74","1,21"
Dívida bruta,740 mi,784 mi,599 mi,709 mi,867 mi,1.266 mi,1.308 mi,945 mi,830 mi,805 mi,801 mi,751 mi,479 mi,412 mi,402 mi,213 mi,184 mi,183 mi
Dívida líquida,71 mi,19 mi,-17 mi,271 mi,482 mi,830 mi,764 mi,626 mi,519 mi,491 mi,400 mi,500 mi,298 mi,259 mi,286 mi,41 mi,44 mi,75 mi
Capital de giro,814 mi,939 mi,1.013 mi,716 mi,609 mi,472 mi,213 mi,450 mi,496 mi,411 mi,358 mi,434 mi,314 mi,362 mi,147 mi,244 mi,193 mi,228 mi
Endividamento geral,"76,40%","82,89%","61,56%","91,22%","109,27%","137,10%","157,86%","125,44%","106,46%","107,91%","109,11%","99,98%","119,49%","115,83%","113,85%","81,92%","76,05%","82,30%"
