Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"446,98 M","531,39 M","540,40 M","490,10 M","500,67 M","589,17 M","579,70 M","518,15 M","484,32 M","633,47 M","558,41 M","534,36 M","529,28 M","478,75 M","496,30 M","463,95 M","447,54 M","437,25 M","421,27 M","402,12 M","489,71 M","538,72 M","522,06 M","414,62 M","463,74 M","548,80 M","569,03 M","463,34 M","426,78 M","447,28 M","478,85 M","421,85 M","386,33 M","411,91 M","412,11 M","391,93 M","358,52 M","417,00 M","425,90 M","437,80 M","443,15 M","446,56 M","451,29 M","378,46 M","361,09 M","358,60 M","342,80 M","294,51 M","300,14 M","316,62 M","315,81 M","275,29 M","267,27 M","224,35 M","223,47 M","229,88 M","219,01 M","227,72 M","228,21 M","211,99 M","206,00 M","202,87 M","194,94 M","188,90 M","170,13 M"
Custos,"-273,97 M","-343,35 M","-360,30 M","-331,91 M","-332,29 M","-391,14 M","-369,32 M","-328,71 M","-305,12 M","-406,91 M","-362,97 M","-341,04 M","-321,76 M","-309,67 M","-315,93 M","-293,94 M","-296,79 M","-302,50 M","-292,59 M","-271,20 M","-392,04 M","-434,01 M","-412,82 M","-372,55 M","-376,93 M","-429,94 M","-433,02 M","-369,73 M","-334,07 M","-347,33 M","-359,24 M","-318,69 M","-285,80 M","-319,97 M","-312,17 M","-307,42 M","-281,39 M","-305,11 M","-309,98 M","-325,52 M","-336,58 M","-337,01 M","-334,10 M","-270,72 M","-264,86 M","-260,81 M","-240,85 M","-215,62 M","-221,99 M","-231,35 M","-229,44 M","-211,13 M","-201,10 M","-158,98 M","-153,82 M","-156,89 M","-154,60 M","-162,95 M","-159,50 M","-154,74 M","-151,60 M","-144,29 M","-144,06 M","-142,92 M","-128,80 M"
Lucro bruto,"173,01 M","188,05 M","180,10 M","158,19 M","168,38 M","198,03 M","210,38 M","189,44 M","179,20 M","226,56 M","195,44 M","193,32 M","207,52 M","169,08 M","180,37 M","170,01 M","150,76 M","134,75 M","128,68 M","130,92 M","97,67 M","104,71 M","109,24 M","42,07 M","86,81 M","118,86 M","136,02 M","93,62 M","92,70 M","99,95 M","119,61 M","103,16 M","100,54 M","91,94 M","99,94 M","84,51 M","77,13 M","111,89 M","115,92 M","112,28 M","106,56 M","109,56 M","117,19 M","107,74 M","96,23 M","97,79 M","101,94 M","78,89 M","78,16 M","85,27 M","86,37 M","64,15 M","66,17 M","65,37 M","69,65 M","72,98 M","64,41 M","64,76 M","68,71 M","57,25 M","54,40 M","58,58 M","50,89 M","45,98 M","41,33 M"
Despesas operacionais,"-89,81 M","-119,96 M","-114,18 M","-102,48 M","-60,25 M","-130,99 M","-103,60 M","-85,23 M","20,97 M","-151,72 M","-83,35 M","-90,00 M","-106,00 M","-109,34 M","-91,37 M","-80,67 M","-82,98 M","-72,71 M","-68,11 M","-121,67 M","-77,60 M","-128,73 M","-78,98 M","-190,12 M","-54,37 M","-112,94 M","-75,17 M","-63,75 M","-58,97 M","-69,71 M","-70,87 M","-66,20 M","-63,83 M","-62,74 M","-66,45 M","-62,62 M","-67,98 M","-83,22 M","-73,01 M","-106,87 M","-68,41 M","-72,41 M","-60,79 M","-59,29 M","-48,45 M","-59,37 M","-47,38 M","-40,59 M","-36,41 M","-41,89 M","-58,13 M","-40,26 M","-28,56 M","-37,40 M","-25,72 M","-21,58 M","-25,68 M","-25,81 M","-24,39 M","-20,16 M","-19,06 M","-15,69 M","-16,30 M","-14,70 M","-12,51 M"
Despesas com vendas,"-49,67 M","-52,93 M","-58,52 M","-51,24 M","-46,37 M","-67,80 M","-58,80 M","-46,60 M","-47,63 M","-66,29 M","-33,51 M","-45,24 M","-49,00 M","-41,84 M","-42,76 M","-49,84 M","-43,02 M","-36,62 M","-41,98 M","-61,37 M","-40,45 M","-69,90 M","-39,69 M","-36,49 M","-36,93 M","-47,66 M","-48,73 M","-39,09 M","-33,64 M","-28,60 M","-44,10 M","-31,70 M","-31,25 M","-27,09 M","-31,92 M","-28,10 M","-28,01 M","-51,72 M","-37,60 M","-37,71 M","-36,90 M","-32,87 M","-34,13 M","-26,88 M","-26,76 M","-22,67 M","-24,76 M","-24,76 M","-23,59 M","-21,64 M","-23,59 M","-21,19 M","-18,55 M","-10,80 M","-16,54 M","-15,09 M","-16,28 M","-17,17 M","-15,27 M","-13,92 M","-10,05 M","-9,10 M","-9,40 M","-9,32 M","-6,46 M"
Despesas administrativas,"-34,55 M","-43,77 M","-34,07 M","-43,33 M","-40,91 M","-46,59 M","-42,81 M","-36,41 M","-38,80 M","-42,29 M","-46,69 M","-37,19 M","-39,59 M","-21,23 M","-38,37 M","-25,33 M","-31,25 M","-21,88 M","-20,31 M","-27,93 M","-26,70 M","-21,37 M","-28,73 M","-20,96 M","-19,88 M","-20,93 M","-19,49 M","-21,30 M","-20,75 M","-23,59 M","-21,24 M","-20,84 M","-20,63 M","-23,44 M","-20,06 M","-21,84 M","-22,77 M","-21,56 M","-26,06 M","-27,64 M","-26,16 M","-26,44 M","-22,96 M","-25,50 M","-20,94 M","-18,83 M","-15,14 M","-13,89 M","-13,53 M","-13,19 M","-10,99 M","-14,66 M","-9,92 M","-8,66 M","-8,99 M","-9,68 M","-10,74 M","-8,18 M","-8,90 M","-7,15 M","-9,48 M","-6,28 M","-6,35 M","-5,61 M","-5,61 M"
EBIT,"83,20 M","68,09 M","65,92 M","55,71 M","108,13 M","67,05 M","106,78 M","104,20 M","200,17 M","74,84 M","112,09 M","103,31 M","101,52 M","59,74 M","89,00 M","89,34 M","67,78 M","62,04 M","60,57 M","9,25 M","20,07 M","-24,02 M","30,26 M","-148,05 M","32,44 M","5,92 M","60,85 M","29,87 M","33,73 M","30,25 M","48,74 M","36,96 M","36,70 M","29,20 M","33,49 M","21,90 M","9,15 M","28,67 M","42,90 M","5,41 M","38,15 M","37,15 M","56,40 M","48,45 M","47,78 M","38,42 M","54,56 M","38,30 M","41,75 M","43,38 M","28,24 M","23,89 M","37,61 M","27,97 M","43,93 M","51,40 M","38,73 M","38,95 M","44,33 M","37,09 M","35,34 M","42,89 M","34,59 M","31,28 M","28,82 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"4,58 M","-10,97 M","-7,64 M","-23,17 M","-21,80 M","-393,00 Mil","4,09 M","-15,91 M","-30,10 M","-42,76 M","-24,22 M","-32,67 M","-18,94 M","-34,08 M","-51,04 M","-16,71 M","-84,75 M","-19,11 M","1,09 M","-31,64 M","-18,59 M","-16,97 M","-33,16 M","-11,02 M","-23,99 M","-15,49 M","-16,36 M","-17,97 M","-10,73 M","5,64 M","-13,28 M","-14,09 M","-4,49 M","-5,32 M","-7,93 M","-14,15 M","-1,92 M","-5,47 M","-12,09 M","-9,10 M","-19,09 M","-18,61 M","10,90 M","-12,07 M","5,59 M","-2,87 M","-2,34 M","-7,97 M","-10,27 M","-7,18 M","-6,16 M","7,23 M","-6,79 M","-3,45 M","-3,67 M","-1,14 M","-3,28 M","-1,58 M","-2,60 M","-2,49 M","-3,63 M","-2,41 M","-10,23 M","-10,86 M","-2,93 M"
Antes dos impostos,"87,79 M","57,12 M","58,28 M","32,54 M","86,33 M","66,66 M","110,87 M","88,29 M","170,07 M","32,07 M","87,86 M","70,64 M","82,58 M","25,66 M","37,96 M","72,62 M","-16,97 M","42,93 M","61,66 M","-22,39 M","1,48 M","-40,99 M","-2,90 M","-159,06 M","8,45 M","-9,57 M","44,49 M","11,90 M","23,01 M","35,89 M","35,46 M","22,87 M","32,21 M","23,88 M","25,55 M","7,75 M","7,23 M","23,19 M","30,82 M","-3,68 M","19,06 M","18,53 M","67,30 M","36,38 M","53,37 M","35,55 M","52,22 M","30,33 M","31,48 M","36,20 M","22,08 M","31,12 M","30,82 M","24,52 M","40,26 M","50,26 M","35,45 M","37,37 M","41,72 M","34,60 M","31,72 M","40,48 M","24,36 M","20,41 M","25,89 M"
