Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"304,57 M","335,77 M","309,40 M","319,91 M","265,87 M","308,66 M","264,59 M","290,17 M","248,13 M","281,85 M","274,53 M","288,28 M","265,17 M","277,50 M","287,28 M","268,36 M","232,77 M","287,32 M","225,08 M","195,62 M","167,90 M","203,12 M","141,81 M","45,20 M","208,69 M","246,61 M","212,14 M","244,93 M","250,40 M","296,71 M","314,25 M","333,86 M","299,33 M","295,48 M","316,05 M","341,10 M","297,18 M","311,79 M","282,34 M","283,08 M","248,63 M","313,59 M","282,50 M","296,57 M","296,08 M","237,11 M","178,13 M","176,38 M","174,09 M","189,61 M","160,82 M","168,00 M","195,25 M","182,28 M","151,11 M","163,63 M","138,89 M","134,40 M","336,70 M","115,69 M","100,55 M","351,09 M",0,"79,19 M","77,42 M"
Custos,"-107,66 M","-121,63 M","-111,36 M","-114,78 M","-99,48 M","-113,31 M","-99,54 M","-102,42 M","-93,03 M","-92,17 M","-100,27 M","-93,15 M","-95,39 M","-98,23 M","-112,10 M","-95,75 M","-99,33 M","-143,45 M","-97,17 M","-92,67 M","-85,41 M","-117,36 M","-82,68 M","-27,48 M","-76,18 M","-251,09 M","-78,94 M","-92,66 M","-77,98 M","-109,94 M","-122,78 M","-111,63 M","-107,43 M","-120,77 M","-144,94 M","-137,30 M","-128,85 M","-117,76 M","-116,56 M","-118,35 M","-117,13 M","-133,59 M","-119,86 M","-122,97 M","-121,31 M","-79,26 M","-60,74 M","-58,83 M","-60,34 M","-61,51 M","-52,73 M","-51,86 M","-82,46 M","-50,20 M","-42,93 M","-54,33 M","-49,09 M","-30,45 M","-113,86 M","-38,27 M","-37,90 M","-119,95 M",0,"-25,37 M","-29,62 M"
Lucro bruto,"196,91 M","214,14 M","198,04 M","205,13 M","166,39 M","195,35 M","165,05 M","187,75 M","155,11 M","189,68 M","174,26 M","195,13 M","169,77 M","179,26 M","175,18 M","172,61 M","133,44 M","143,87 M","127,92 M","102,94 M","82,48 M","85,76 M","59,13 M","17,71 M","132,51 M","-4,47 M","133,20 M","152,27 M","172,41 M","186,77 M","191,47 M","222,23 M","191,90 M","174,71 M","171,11 M","203,80 M","168,33 M","194,03 M","165,78 M","164,73 M","131,50 M","180,00 M","162,64 M","173,60 M","174,77 M","157,85 M","117,39 M","117,56 M","113,74 M","128,09 M","108,09 M","116,14 M","112,80 M","132,08 M","108,18 M","109,30 M","89,81 M","103,95 M","222,84 M","77,41 M","62,65 M","231,14 M",0,"53,82 M","47,79 M"
Despesas operacionais,"-172,21 M","-182,65 M","-174,15 M","-174,32 M","-167,14 M","-169,59 M","-164,80 M","-168,08 M","-157,36 M","-175,69 M","-167,24 M","-190,87 M","-162,56 M","13,02 M","-168,64 M","-152,94 M","-138,10 M","-761,76 M","-133,27 M","-125,35 M","-114,35 M","-427,51 M","-141,19 M","-135,66 M","-846,44 M","-186,65 M","-153,09 M","-51,01 M","-149,48 M","-87,61 M","-140,78 M","-148,70 M","-141,28 M","-351,36 M","-135,56 M","-145,03 M","-130,05 M","-170,86 M","-128,54 M","-129,45 M","-121,28 M","-145,93 M","-142,08 M","-131,35 M","-119,51 M","-129,80 M","-91,83 M","-90,99 M","-94,52 M","-112,66 M","-90,72 M","-97,98 M","-106,19 M","-110,71 M","-92,91 M","-100,43 M","-71,51 M","-70,93 M","-164,78 M","-55,87 M","-47,85 M","-170,29 M",0,"-41,13 M","-39,51 M"
Despesas com vendas,"-127,64 M","-139,66 M","-129,54 M","-130,64 M","-124,22 M","-131,10 M","-120,79 M","-124,55 M","-113,78 M","-133,09 M","-121,38 M","-130,03 M","-126,84 M","-154,12 M","-120,87 M","-121,06 M","-111,16 M","-135,93 M","-109,21 M","-101,94 M","-95,60 M","-159,98 M","-91,66 M","-74,06 M","-123,24 M","-136,38 M","-117,14 M","-125,03 M","-121,97 M","-222,89 M","-86,97 M","-91,06 M","-89,61 M","-136,28 M","-82,50 M","-88,05 M","-80,10 M","-30,84 M","-80,41 M","-80,01 M","-72,14 M","-42,45 M","-85,60 M","-80,08 M","-69,47 M","-32,66 M","-54,66 M","-64,64 M","-52,51 M","-29,92 M","-52,68 M","-45,53 M","-42,58 M","-54,75 M","-56,32 M","-57,17 M","-45,07 M","-39,93 M","-101,26 M","-35,85 M","-29,62 M","-110,26 M","-27,13 M","-26,19 M","-24,06 M"
Despesas administrativas,"-45,47 M","-44,48 M","-43,94 M","-44,71 M","-44,40 M","-42,57 M","-43,02 M","-42,65 M","-42,93 M","-42,98 M","-45,73 M","-39,34 M","-35,98 M","-37,64 M","-45,07 M","-30,99 M","-27,78 M","-43,63 M","-29,46 M","-24,78 M","-23,00 M","-42,86 M","-47,07 M","-36,94 M","-40,27 M","-41,05 M","-37,97 M","-41,55 M","-29,57 M","64,34 M","-55,23 M","-56,59 M","-54,44 M","-54,26 M","-60,40 M","-58,31 M","-54,40 M","-11,77 M","-48,50 M","-49,93 M","-54,15 M","-9,44 M","-55,53 M","-48,20 M","-48,52 M","-12,62 M","-37,18 M","-26,14 M","-40,15 M","-18,33 M","-37,59 M","-34,59 M","-62,24 M","-35,61 M","-32,41 M","-36,24 M","-26,18 M","-19,95 M","-52,37 M","-15,93 M","-14,63 M","-46,74 M","-12,26 M","-12,10 M","-11,12 M"
EBIT,"24,70 M","31,49 M","23,89 M","30,80 M","-745,00 Mil","25,77 M","252,00 Mil","19,68 M","-2,25 M","13,99 M","7,02 M","4,26 M","7,21 M","192,28 M","6,53 M","19,66 M","-4,66 M","-617,89 M","-5,36 M","-22,40 M","-31,86 M","-341,75 M","-82,06 M","-117,94 M","-713,93 M","-191,12 M","-19,90 M","101,27 M","22,93 M","99,16 M","50,68 M","73,53 M","50,62 M","-176,65 M","35,55 M","58,77 M","38,27 M","23,17 M","37,24 M","35,28 M","10,22 M","34,07 M","20,55 M","42,25 M","55,26 M","28,05 M","25,56 M","26,57 M","19,22 M","15,43 M","17,38 M","18,16 M","6,60 M","21,37 M","15,27 M","8,87 M","18,30 M","33,02 M","58,06 M","21,55 M","14,80 M","60,85 M",0,"12,69 M","8,29 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-13,33 M","-15,29 M","-15,96 M","-15,21 M","-14,57 M","-13,73 M","-12,04 M","-13,98 M","-14,33 M","-16,91 M","-18,39 M","-34,39 M","-13,31 M","-18,16 M","-85,28 M","-75,47 M","-66,43 M","-56,86 M","-43,78 M","-33,54 M","-25,65 M","-31,52 M","-30,04 M","-28,77 M","-35,27 M","-43,68 M","-46,69 M","-46,05 M","-40,07 M","-38,83 M","-43,74 M","-36,11 M","-25,89 M","-27,26 M","-43,98 M","-46,99 M","-51,55 M","-50,51 M","-51,38 M","-54,92 M","-38,17 M","-56,10 M","-58,89 M","-41,93 M","-40,20 M","-39,45 M","-25,41 M","-23,89 M","-19,89 M","-21,97 M","-19,11 M","-23,64 M","-20,58 M","-11,48 M","-9,88 M","-28,24 M","555,00 Mil","-6,38 M","-29,75 M","-1,28 M","-755,00 Mil","-4,86 M",0,"-1,56 M","-1,50 M"
Antes dos impostos,"11,37 M","16,20 M","7,93 M","15,60 M","-15,32 M","12,04 M","-11,79 M","5,70 M","-16,59 M","-2,92 M","-11,37 M","-30,12 M","-6,10 M","174,12 M","-78,75 M","-55,81 M","-71,10 M","-674,75 M","-49,14 M","-55,94 M","-57,51 M","-373,27 M","-112,10 M","-146,71 M","-749,21 M","-234,80 M","-66,59 M","55,22 M","-17,14 M","60,33 M","6,94 M","37,42 M","24,73 M","-203,91 M","-8,43 M","11,78 M","-13,28 M","-27,34 M","-14,14 M","-19,64 M","-27,95 M","-22,04 M","-38,33 M","320,00 Mil","15,06 M","-11,40 M","154,00 Mil","2,67 M","-666,00 Mil","-6,53 M","-1,74 M","-5,49 M","-13,98 M","9,89 M","5,38 M","-19,37 M","18,85 M","26,64 M","28,31 M","20,26 M","14,05 M","55,99 M",0,"11,13 M","6,79 M"
