Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021
Receita líquida,"579,24 M","558,12 M","549,07 M","606,01 M","545,89 M","530,04 M","530,76 M","576,69 M","504,32 M","508,84 M","487,96 M","521,50 M","444,22 M","430,71 M","400,83 M","308,02 M","177,79 M","165,94 M","148,06 M","166,45 M","150,69 M"
Custos,"-187,62 M","-189,09 M","-201,90 M","-194,38 M","-190,91 M","-199,68 M","-191,19 M","-198,45 M","-157,34 M","-175,08 M","-167,55 M","-175,58 M","-151,27 M","-150,42 M","-168,86 M","-117,90 M","-65,15 M","-60,58 M","-67,78 M","-59,62 M","-52,95 M"
Lucro bruto,"391,62 M","369,02 M","347,17 M","411,63 M","354,98 M","330,36 M","339,57 M","378,24 M","346,99 M","333,76 M","320,42 M","345,91 M","292,95 M","280,29 M","231,97 M","190,12 M","112,64 M","105,36 M","80,28 M","106,84 M","97,75 M"
Despesas operacionais,"-226,25 M","-232,41 M","-198,19 M","-227,37 M","-236,88 M","-287,30 M","-202,44 M","-213,89 M","-243,81 M","-249,78 M","-222,13 M","-214,58 M","-191,59 M","-222,45 M","-151,81 M","-150,02 M","-86,40 M","-80,88 M","-70,12 M","-71,63 M","-84,50 M"
Despesas com vendas,"-126,39 M","-99,92 M","-87,42 M","-89,84 M","-131,64 M","-98,45 M","-89,89 M","-83,41 M","-125,98 M","-98,32 M","-93,21 M","-78,73 M","-90,14 M","-85,43 M","-69,60 M","-41,84 M","-47,96 M","-24,11 M","-24,09 M","-24,77 M","-38,52 M"
Despesas administrativas,"-60,26 M","-73,01 M","-60,87 M","-63,91 M","-59,83 M","-67,50 M","-60,80 M","-71,34 M","-60,06 M","-63,06 M","-73,36 M","-55,18 M","-54,08 M","-54,66 M","-37,84 M","-70,28 M","-12,99 M","-22,34 M","-22,32 M","-19,09 M","-21,28 M"
EBIT,"165,37 M","136,61 M","148,98 M","184,26 M","118,10 M","43,06 M","137,14 M","164,35 M","103,17 M","83,98 M","98,29 M","131,34 M","101,36 M","57,84 M","80,16 M","40,10 M","26,24 M","24,48 M","10,16 M","35,20 M","13,24 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-86,43 M","-90,23 M","-81,06 M","-78,83 M","-75,99 M","-156,24 M","-101,49 M","-88,79 M","-97,13 M","-100,94 M","-66,02 M","-63,92 M","-74,22 M","-79,04 M","-71,96 M","-49,49 M","-2,91 M","-17,24 M","-11,16 M","-11,47 M","-7,24 M"
Antes dos impostos,"78,94 M","46,38 M","67,93 M","105,42 M","42,11 M","-113,17 M","35,65 M","75,56 M","6,04 M","-16,96 M","32,27 M","67,41 M","27,15 M","-21,20 M","8,20 M","-9,39 M","23,33 M","7,24 M","-1,00 M","23,73 M","6,00 M"
Imposto,"715,98 M","48,05 M","30,30 M","21,87 M","7,84 M","307,66 M","-11,60 M","-13,32 M","1,94 M","-8,05 M","-34,15 M","25,37 M","29,64 M","37,70 M","27,33 M","29,63 M","-2,46 M","18,27 M","-1,01 M","-9,29 M","13,27 M"
Op. continuadas,"794,92 M","94,43 M","98,22 M","127,30 M","49,94 M","194,48 M","24,04 M","62,24 M","7,98 M","-25,02 M","-1,89 M","92,78 M","56,79 M","16,50 M","35,53 M","20,24 M","20,87 M","25,50 M","-2,01 M","14,44 M","19,27 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"794,92 M","94,43 M","98,22 M","127,30 M","49,94 M","194,48 M","24,04 M","62,24 M","7,98 M","-25,02 M","-1,89 M","92,78 M","56,79 M","16,50 M","35,53 M","20,24 M","20,87 M","25,50 M","-2,01 M","14,44 M","19,27 M"
Dos controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
