Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"4,02 B","3,88 B","4,22 B","3,35 B","2,93 B","2,99 B","3,04 B","2,87 B","2,91 B","2,78 B","2,80 B","2,73 B","2,72 B","2,52 B","2,37 B","2,18 B","2,06 B","2,00 B","2,08 B","1,91 B","1,71 B","1,68 B","1,65 B","1,50 B","1,38 B","1,36 B","1,38 B","1,34 B","1,34 B","1,33 B","1,18 B","1,11 B","1,18 B","1,12 B","1,08 B","1,10 B","1,05 B","1,08 B","1,16 B","1,13 B","1,12 B","1,24 B","1,40 B","1,28 B","1,28 B","1,27 B","1,24 B","1,18 B","1,21 B","1,27 B","1,34 B","1,31 B","1,33 B","1,38 B","1,48 B","1,54 B","1,54 B","1,56 B","1,64 B","1,57 B","1,63 B","1,61 B","1,61 B"
Ativo circulante,"2,51 B","2,38 B","2,76 B","2,28 B","2,05 B","2,13 B","2,23 B","2,10 B","2,11 B","1,96 B","1,96 B","1,87 B","1,76 B","1,59 B","1,61 B","1,44 B","1,34 B","1,30 B","1,41 B","1,29 B","1,10 B","1,11 B","1,09 B","945,03 M","824,72 M","794,23 M","819,38 M","781,65 M","790,74 M","800,26 M","690,92 M","635,20 M","712,30 M","668,03 M","630,76 M","657,01 M","595,07 M","617,00 M","677,52 M","655,89 M","635,55 M","758,58 M","865,77 M","750,92 M","747,77 M","729,43 M","685,72 M","611,74 M","623,35 M","667,61 M","754,52 M","717,80 M","730,18 M","765,82 M","834,40 M","877,07 M","843,23 M","840,83 M","941,08 M","885,94 M","956,70 M","941,50 M","949,78 M"
Caixa e eq. de caixa,"349,67 M","203,97 M","567,23 M","211,76 M","243,85 M","307,66 M","454,08 M","426,26 M","311,69 M","361,02 M","363,38 M","281,34 M","374,19 M","197,20 M","211,96 M","105,65 M","210,60 M","114,64 M","71,75 M","84,74 M","66,99 M","158,55 M","178,21 M","172,39 M","121,13 M","62,16 M","55,12 M","83,84 M","109,58 M","68,63 M","31,82 M","40,84 M","150,68 M","100,50 M","20,09 M","31,73 M","24,15 M","17,09 M","6,67 M","6,56 M","8,07 M","24,69 M","12,28 M","31,71 M","29,16 M","30,64 M","7,46 M","11,81 M","45,26 M","46,67 M","11,43 M","26,93 M","42,63 M","57,72 M","13,90 M","34,37 M","10,40 M","18,18 M","45,55 M","52,41 M","15,69 M","50,99 M","96,80 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,"252,69 M","3,00 Mil","3,00 Mil","1,55 M","4,00 Mil","4,00 Mil",0,0,0,0,"78,36 M","80,56 M","79,85 M","80,95 M","95,00 M","150,00 M",0,0,0,0,"40,00 Mil",0,"1,41 M","1,70 M","1,85 M","1,74 M","2,18 M","4,42 M","6,41 M","6,41 M","7,39 M","7,50 M","9,50 M","9,30 M","9,28 M","8,95 M","8,70 M","10,19 M","11,76 M","11,52 M","10,38 M","10,02 M","10,01 M","9,87 M","9,96 M","10,30 M","7,59 M","25,61 M","9,87 M","10,53 M","1,32 M","1,49 M","1,35 M","1,52 M","1,61 M"
Contas a receber,"917,00 M","1,08 B","1,01 B","959,88 M","833,17 M","988,31 M","881,85 M","872,02 M","734,35 M","830,67 M","797,22 M","739,28 M","620,40 M","769,46 M","709,34 M","688,55 M","507,27 M","616,27 M","587,80 M","494,90 M","476,59 M","574,10 M","463,01 M","276,93 M","369,03 M","448,38 M","442,29 M","411,74 M","410,13 M","467,38 M","424,12 M","358,17 M","335,25 M","326,52 M","379,91 M","378,44 M","347,51 M","372,59 M","407,51 M","359,41 M","346,78 M","394,84 M","518,31 M","418,54 M","390,68 M","399,24 M","409,67 M","355,95 M","326,34 M","354,86 M","403,26 M","371,25 M","370,31 M","379,57 M","481,63 M","444,69 M","433,79 M","435,63 M","454,26 M","436,28 M","502,51 M","541,12 M","555,01 M"
Estoques,"986,80 M","834,91 M","893,54 M","834,92 M","794,51 M","648,39 M","693,00 M","624,52 M","650,69 M","583,53 M","673,91 M","728,17 M","715,00 M","567,83 M","634,23 M","583,94 M","551,85 M","493,50 M","573,83 M","518,29 M","436,70 M","256,92 M","297,86 M","288,31 M","270,15 M","241,24 M","272,96 M","252,87 M","240,62 M","229,47 M","197,49 M","197,41 M","187,46 M","189,52 M","188,58 M","190,75 M","186,28 M","189,92 M","207,97 M","229,34 M","221,59 M","234,08 M","279,76 M","268,02 M","292,63 M","265,41 M","233,81 M","197,66 M","200,53 M","207,84 M","288,93 M","268,65 M","262,78 M","266,73 M","274,35 M","304,31 M","291,52 M","272,37 M","350,15 M","285,90 M","298,76 M","224,41 M","157,55 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"1,51 B","1,50 B","1,46 B","1,06 B","881,77 M","865,55 M","813,77 M","763,09 M","795,06 M","814,53 M","837,22 M","861,50 M","954,64 M","927,65 M","765,02 M","741,74 M","716,45 M","695,94 M","671,47 M","611,58 M","600,58 M","568,37 M","562,11 M","555,00 M","558,39 M","560,93 M","562,53 M","559,29 M","551,43 M","526,51 M","486,24 M","478,17 M","465,01 M","452,45 M","450,32 M","444,28 M","452,21 M","461,66 M","478,37 M","476,30 M","482,36 M","478,57 M","530,22 M","527,95 M","536,91 M","542,09 M","556,86 M","568,71 M","581,77 M","599,95 M","587,00 M","595,01 M","598,05 M","609,62 M","649,28 M","662,67 M","699,44 M","717,37 M","699,56 M","683,70 M","672,56 M","671,15 M","658,09 M"
Investimentos,"69,96 M","72,07 M","66,28 M","65,23 M","65,68 M","64,32 M","64,15 M","60,59 M","64,59 M","62,88 M","61,98 M","59,02 M","77,57 M","75,67 M","74,07 M","71,69 M","70,02 M","69,41 M","68,25 M","60,86 M","60,89 M","62,12 M","62,13 M","62,00 M","63,07 M","64,58 M","63,99 M","63,44 M","63,40 M","64,70 M","44,01 M","43,53 M","43,54 M","43,44 M","33,14 M","32,71 M","33,84 M","33,51 M","33,08 M","33,16 M","32,53 M","31,85 M","31,43 M","30,83 M","30,64 M","30,56 M","30,02 M","29,41 M","29,57 M","29,52 M","29,15 M","29,02 M","28,97 M","28,77 M","27,15 M","27,84 M","27,83 M","28,28 M","27,48 M","27,04 M","26,42 M","26,70 M","24,41 M"
Imobilizado,"676,98 M","663,14 M","633,45 M","604,59 M","558,12 M","542,47 M","492,44 M","445,85 M","436,31 M","435,55 M","423,19 M","419,11 M","408,54 M","397,15 M","374,04 M","351,66 M","335,82 M","319,78 M","296,60 M","293,75 M","288,69 M","256,46 M","247,84 M","242,12 M","225,08 M","250,97 M","234,67 M","211,93 M","201,43 M","195,00 M","187,58 M","179,09 M","164,57 M","152,65 M","152,87 M","148,76 M","155,37 M","157,29 M","157,99 M","158,13 M","164,34 M","173,31 M","200,12 M","203,99 M","212,66 M","216,21 M","213,84 M","220,03 M","230,35 M","248,75 M","250,95 M","259,59 M","268,33 M","277,88 M","296,16 M","308,97 M","321,04 M","333,51 M","333,44 M","326,69 M","337,96 M","334,64 M","286,44 M"
