Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"4,18","4,78","6,92","8,10","5,04","6,07","42,28","5,22","8,15","9,51","22,01","-4,78","-5,59","-4,14","-2,90","-5,51","42,30","188,85"
P/VP,"1,90","2,30","1,87","2,01","1,38","1,40","1,19","0,69","1,32","2,29","15,21","6,72","6,69","3,94","162,79","8,18","9,66","57,88"
P/EBIT,"6,27","7,40","6,80","7,39","5,34","5,85","36,80","5,27","7,76","7,46","6,61","6,28","65,65","-58,83","-8,55","-7,28","26,96","109,70"
P/EBIT *,"7,64","9,13","7,20","7,50","5,88","7,94","28,33","5,11","7,67","8,04","6,01","5,61","19,67","-16,86","-11,03","-6,91","33,98","242,83"
PSR,"1,31","1,56","1,29","1,42","0,93","1,02","1,13","0,55","0,99","1,42","0,69","0,25","0,39","0,40","0,60","1,14","2,62","16,16"
P/Ativos,"1,18","1,44","1,32","1,44","0,94","0,95","0,80","0,55","0,93","1,60","0,73","0,19","0,32","0,41","0,65","1,12","3,17","16,05"
LPA,"3,58","3,66","1,79","1,56","1,48","0,99","0,10","0,45","0,48","0,59","0,11","-0,16","-0,23","-0,40","-0,97","-0,99","0,38","0,43"
VPA,"7,88","7,63","6,64","6,27","5,38","4,27","3,54","3,42","2,96","2,47","0,16","0,11","0,19","0,42","0,02","0,67","1,66","1,40"
EBIT por ação,"2,39","2,37","1,83","1,71","1,39","1,02","0,11","0,45","0,50","0,76","0,37","0,12","0,02","-0,03","-0,33","-0,75","0,60","0,74"
EBIT por ação *,"1,96","1,92","1,72","1,68","1,27","0,75","0,15","0,46","0,51","0,70","0,41","0,13","0,07","-0,10","-0,25","-0,79","0,47","0,33"
Ativo por ação,"12,65","12,20","9,41","8,73","7,93","6,27","5,28","4,26","4,17","3,52","3,39","3,89","4,00","3,99","4,33","4,90","5,07","5,06"
Receita líquida por ação,"11,43","11,20","9,59","8,86","7,98","5,87","3,71","4,28","3,93","3,97","3,57","3,04","3,26","4,17","4,66","4,81","6,14","5,02"
Margem bruta,"41,06%","41,04%","41,93%","41,74%","36,95%","35,32%","29,53%","34,69%","35,92%","38,19%","34,61%","29,76%","28,68%","20,81%","22,83%","13,69%","30,81%","31,32%"
Margem líquida,"31,34%","32,73%","18,69%","17,56%","18,52%","16,81%","2,68%","10,52%","12,18%","14,96%","3,15%","-5,17%","-7,02%","-9,55%","-20,76%","-20,66%","6,20%","8,57%"
Margem EBIT,"20,92%","21,15%","19,04%","19,25%","17,48%","17,44%","3,08%","10,42%","12,79%","19,06%","10,48%","3,93%","0,60%","-0,67%","-7,04%","-15,65%","9,72%","14,73%"
Margem EBIT *,"17,17%","17,14%","17,98%","18,97%","15,87%","12,85%","4,00%","10,76%","12,95%","17,69%","11,52%","4,40%","2,00%","-2,34%","-5,46%","-16,49%","7,71%","6,66%"
Margem EBITDA,"24,61%","24,83%","22,53%","22,76%","20,73%","21,36%","9,52%","16,36%","17,46%","23,48%","16,45%","11,21%","7,48%","5,47%","0,39%","-8,63%","14,82%","18,00%"
