Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020
Receita líquida,"191,50 M","213,52 M","222,30 M","222,24 M","213,56 M","222,95 M","212,27 M","193,12 M","209,54 M","218,90 M","217,82 M","219,73 M","244,26 M","277,49 M","267,90 M","284,32 M","241,19 M","276,13 M","288,19 M","276,68 M","225,59 M","211,58 M","198,06 M","160,19 M","148,22 M"
Custos,"-142,00 M","-163,40 M","-163,91 M","-161,28 M","-149,28 M","-171,38 M","-157,26 M","-137,62 M","-155,41 M","-180,24 M","-170,00 M","-168,07 M","-194,14 M","-218,80 M","-208,51 M","-214,76 M","-181,18 M","-200,01 M","-208,71 M","-202,99 M","-160,01 M","-138,02 M","-134,41 M","-110,94 M","-95,68 M"
Lucro bruto,"49,51 M","50,12 M","58,39 M","60,95 M","64,28 M","51,57 M","55,01 M","55,50 M","54,13 M","38,66 M","47,82 M","51,66 M","50,12 M","58,69 M","59,40 M","69,56 M","60,01 M","76,12 M","79,47 M","73,69 M","65,58 M","73,56 M","63,65 M","49,25 M","52,54 M"
Despesas operacionais,"-29,59 M","-231,66 M","-49,22 M","-52,74 M","-36,93 M","-47,13 M","-41,95 M","-31,55 M","-36,22 M","-43,40 M","-36,63 M","-32,14 M","-39,71 M","-41,44 M","-39,12 M","-44,10 M","-34,21 M","-39,01 M","-45,49 M","-36,38 M","-39,48 M","-30,85 M","-32,77 M","-26,45 M","-25,63 M"
Despesas com vendas,"-9,55 M","62,22 M","-23,40 M","-26,46 M","-9,75 M","44,94 M","-16,55 M","-11,35 M","-17,04 M","43,69 M","-12,56 M","-13,16 M","-17,98 M","59,09 M","-19,15 M","-22,87 M","-17,07 M","55,06 M","-18,96 M","-18,85 M","-17,25 M","29,01 M","-13,16 M","-8,12 M","-7,72 M"
Despesas administrativas,"-24,09 M","-23,35 M","-22,68 M","-21,78 M","-21,48 M","36,31 M","-21,92 M","-17,15 M","-3,29 M","-2,07 M","-2,30 M","-3,48 M","-2,75 M","-2,90 M","-4,97 M","-5,77 M","-3,83 M","-6,30 M","-5,24 M","-9,17 M","-7,11 M","-4,03 M","-4,95 M","-3,83 M","-2,77 M"
EBIT,"19,92 M","-181,54 M","9,17 M","8,21 M","27,35 M","4,44 M","13,06 M","23,94 M","17,91 M","-4,74 M","11,19 M","19,52 M","10,41 M","17,26 M","20,27 M","25,45 M","25,80 M","37,11 M","33,98 M","37,30 M","26,10 M","42,71 M","30,88 M","22,80 M","26,91 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-13,52 M","-22,74 M","-10,12 M","-27,70 M","-15,38 M","14,77 M","-6,47 M","-14,29 M","-11,39 M","-7,18 M","-10,82 M","-16,17 M","-18,33 M","-18,07 M","-15,74 M","-16,17 M","-30,91 M","-11,63 M","-13,79 M","-216,00 Mil","-14,56 M","-4,17 M","-349,00 Mil","-9,17 M","-18,32 M"
Antes dos impostos,"6,40 M","-204,28 M","-946,00 Mil","-19,49 M","11,97 M","19,21 M","6,58 M","9,66 M","6,52 M","-11,92 M","370,00 Mil","3,35 M","-7,92 M","-810,00 Mil","4,53 M","9,28 M","-5,11 M","25,48 M","20,20 M","37,09 M","11,54 M","38,54 M","30,53 M","13,63 M","8,58 M"
Imposto,"536,00 Mil","23,91 M","-1,59 M","2,75 M","-3,82 M","-8,66 M","-1,52 M","-1,35 M","-1,78 M","2,07 M","485,00 Mil","157,00 Mil","1,53 M","2,31 M","10,68 M","-723,00 Mil","3,01 M","-1,30 M","-8,10 M","-10,36 M","-2,09 M","-10,37 M","-6,69 M","-2,48 M","-1,16 M"
Op. continuadas,"6,93 M","-180,38 M","-2,54 M","-16,74 M","8,15 M","10,55 M","5,06 M","8,30 M","4,74 M","-9,85 M","855,00 Mil","3,51 M","-6,39 M","1,50 M","15,21 M","8,56 M","-2,09 M","24,18 M","12,10 M","26,72 M","9,45 M","28,18 M","23,84 M","11,14 M","7,42 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"6,93 M","-180,38 M","-2,54 M","-16,74 M","8,15 M","10,55 M","5,06 M","8,30 M","4,74 M","-9,85 M","855,00 Mil","3,51 M","-6,39 M","1,50 M","15,21 M","8,56 M","-2,09 M","24,18 M","12,10 M","26,72 M","9,45 M","28,18 M","23,84 M","11,14 M","7,42 M"
Dos controladores,"6,95 M","-180,48 M","-2,59 M","-16,80 M","8,15 M",0,0,"8,30 M","4,74 M",0,0,0,"-6,39 M","23,17 M",0,0,"-2,09 M","72,45 M",0,0,"9,45 M","70,59 M",0,"11,14 M","7,42 M"
Dos não controladores,"-18,00 Mil","106,00 Mil","53,00 Mil","59,00 Mil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
