Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"28,79","33,58","30,04","26,32","37,43","37,17","60,05","38,86","24,93","27,75","21,48","16,37","22,07","24,38","25,15","20,88","24,87","23,56"
P/VP,"10,20","12,29","8,17","8,70","10,62","9,80","12,16","7,20","4,33","4,72","4,03","3,14","4,17","4,51","4,06","3,23","3,74","3,93"
P/EBIT,"22,90","26,77","23,60","23,34","31,18","32,06","49,91","33,96","22,14","26,80","22,57","16,34","19,25","20,33","20,40","18,48","21,45","20,83"
P/EBIT *,"21,27","24,29","21,28","20,58","27,84","30,63","42,91","29,16","18,92","23,04","19,28","13,96","16,49","17,26","17,30","15,56","18,74","17,94"
PSR,"4,50","5,25","4,78","4,64","5,27","5,66","8,05","4,70","2,79","3,33","2,56","1,94","2,69","3,01","2,67","2,36","2,94","3,08"
P/Ativos,"4,17","5,02","4,37","4,79","5,60","5,57","7,05","4,00","2,17","2,27","1,78","1,33","1,79","2,03","1,86","1,35","1,72","1,97"
LPA,"1,50","1,52","1,44","1,37","1,00","0,85","0,56","0,38","0,32","0,27","0,27","0,28","0,23","0,20","0,16","0,14","0,12","0,13"
VPA,"4,23","4,15","5,29","4,13","3,53","3,24","2,75","2,08","1,84","1,60","1,42","1,44","1,20","1,09","0,97","0,91","0,82","0,79"
EBIT por ação,"1,88","1,91","1,83","1,54","1,20","0,99","0,67","0,44","0,36","0,28","0,25","0,28","0,26","0,24","0,19","0,16","0,14","0,15"
EBIT por ação *,"2,03","2,10","2,03","1,75","1,35","1,04","0,78","0,51","0,42","0,33","0,30","0,32","0,30","0,28","0,23","0,19","0,16","0,17"
Ativo por ação,"10,33","10,16","9,88","7,50","6,70","5,70","4,75","3,74","3,67","3,33","3,22","3,40","2,81","2,42","2,11","2,17","1,79","1,57"
Receita líquida por ação,"9,58","9,72","9,05","7,74","7,12","5,61","4,16","3,18","2,85","2,27","2,23","2,33","1,87","1,63","1,47","1,24","1,05","1,00"
Margem bruta,"33,24%","33,53%","33,73%","33,23%","29,08%","29,54%","31,13%","29,62%","28,98%","28,96%","28,14%","28,34%","31,69%","32,75%","30,46%","29,99%","31,58%","32,21%"
Margem líquida,"16,72%","16,61%","16,63%","18,05%","14,29%","15,52%","13,71%","12,23%","11,23%","11,98%","12,04%","11,94%","12,27%","12,38%","10,77%","11,70%","12,15%","13,30%"
Margem EBIT,"19,66%","19,60%","20,25%","19,88%","16,89%","17,65%","16,12%","13,84%","12,59%","12,42%","11,36%","11,87%","13,96%","14,82%","13,09%","12,78%","13,72%","14,79%"
Margem EBIT *,"21,18%","21,60%","22,45%","22,55%","18,92%","18,47%","18,75%","16,12%","14,73%","14,44%","13,30%","13,90%","16,30%","17,45%","15,45%","15,18%","15,71%","17,17%"
Margem EBITDA,"20,95%","22,06%","22,38%","21,81%","18,78%","19,86%","18,70%","16,82%","15,24%","15,40%","15,02%","15,14%","17,15%","18,01%","16,47%","16,40%","17,91%","19,32%"
Margem EBITDA *,"22,47%","24,06%","24,59%","24,48%","20,81%","20,68%","21,34%","19,09%","17,38%","17,42%","16,96%","17,17%","19,49%","20,64%","18,82%","18,80%","19,90%","21,71%"
Margem operacional,"20,04%","19,97%","20,82%","20,28%","17,11%","18,38%","15,72%","13,52%","12,51%","13,02%","13,66%","13,36%","15,66%","15,89%","14,00%","14,76%","16,52%","17,43%"
ROE,"35,21%","36,52%","27,32%","32,86%","28,02%","26,11%","20,08%","18,28%","17,12%","16,68%","18,58%","18,94%","18,72%","18,21%","16,01%","15,54%","15,06%","16,83%"
