Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018
P/L,"-8,79","-2,35","-2,63","-2,42","-5,57","87,06",-,-
P/VP,"0,40","0,26","0,55","0,42","0,93","234,30",-,-
P/EBIT,"-2,89","-1,50","-1,98","-1,56","-4,10","16.431,08",-,-
P/EBIT *,"-2,09","-1,15","-1,74","-1,56","-3,72","16.431,08",-,-
PSR,"0,58","0,36","0,72","0,51","1,10","4,15",-,-
P/Ativos,"0,28","0,19","0,40","0,31","0,69","10,41",-,-
LPA,"-0,89","-2,30","-4,84","-4,89","-5,46","1,05",-,-
VPA,"19,83","20,72","22,99","27,78","32,57","0,39",-,-
EBIT por ação,"-2,72","-3,59","-6,40","-7,59","-7,42","0,01",-,-
EBIT por ação *,"-3,75","-4,72","-7,29","-7,59","-8,18","0,01",-,-
Ativo por ação,"27,64","28,36","31,61","37,99","44,36","8,81",-,-
Receita líquida por ação,"13,59","15,10","17,69","23,12","27,71","22,08",-,-
Margem bruta,"39,52%","39,98%","39,71%","42,15%","38,40%","45,12%","46,00%","44,23%"
Margem líquida,"-6,57%","-15,24%","-27,34%","-21,13%","-19,71%","4,77%","-1,13%","2,38%"
Margem EBIT,"-19,99%","-23,79%","-36,16%","-32,81%","-26,78%","0,03%","1,44%","6,22%"
Margem EBIT *,"-27,56%","-31,23%","-41,19%","-32,81%","-29,52%","0,03%","1,44%","6,22%"
Margem EBITDA,"-10,79%","-12,53%","-24,46%","-24,84%","-22,95%","1,68%",--%,--%
Margem EBITDA *,"-18,36%","-19,96%","-29,48%","-24,84%","-25,70%","1,68%",--%,--%
Margem operacional,"-6,84%","-15,62%","-27,85%","-25,44%","-23,73%","-2,51%","-0,93%","3,81%"
ROE,"-4,50%","-11,10%","-21,04%","-17,59%","-16,77%","269,11%","17,25%","-40,05%"
ROA,"-0,03","-0,08","-0,15","-0,13","-0,12","0,12","-0,05","0,11"
ROIC,"-20,93%","-26,64%","-41,21%","-39,33%","-50,53%","0,24%","10,53%","81,65%"
ROIC *,"-28,86%","-34,97%","-46,93%","-39,33%","-55,70%","0,24%","10,53%","81,65%"
Giro do ativo,"0,49","0,53","0,56","0,61","0,62","2,51","4,27","4,73"
EBIT *,-42 mi,-53 mi,-81 mi,-85 mi,-91 mi,0 mi,1 mi,0 mi
EBITDA,-17 mi,-22 mi,-49 mi,-64 mi,-71 mi,4 mi,--,--
EBITDA *,-28 mi,-34 mi,-58 mi,-64 mi,-80 mi,4 mi,--,--
Liquidez corrente,"2,72","2,75","2,86","3,35","3,79","0,77","0,64","0,71"
Liquidez seca,"2,39","2,51","2,55","2,86","3,26","0,52","0,38","0,40"
Liquidez imediata,"1,79","1,86","1,89","1,96","2,82","0,37","0,13","0,15"
Dívida bruta,10 mi,10 mi,15 mi,30 mi,35 mi,13 mi,8 mi,0 mi
Dívida líquida,-111 mi,-117 mi,-124 mi,-128 mi,-232 mi,-20 mi,3 mi,-1 mi
Capital de giro,116 mi,119 mi,137 mi,186 mi,261 mi,-20 mi,-13 mi,-1 mi
Endividamento geral,"39,35%","36,85%","37,51%","36,75%","36,22%","2.151,08%","-459,04%","-455,25%"
