Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"1,58 B","1,58 B","1,53 B","1,49 B","1,43 B","1,31 B","1,15 B","1,08 B","883,02 M","1,01 B","825,60 M","944,22 M","867,56 M","811,57 M","738,65 M","701,95 M","691,88 M","668,10 M","651,25 M","640,87 M","629,06 M","569,37 M","578,37 M","578,27 M","534,97 M","515,47 M","526,43 M","531,11 M","494,28 M","506,84 M","487,50 M","480,06 M","464,31 M","473,83 M","515,84 M","516,25 M","500,48 M","485,57 M","495,91 M","504,67 M","507,27 M","518,92 M","563,23 M","576,02 M","570,87 M","579,58 M","621,86 M","600,00 M","619,79 M","689,02 M","668,73 M","680,25 M","654,52 M","658,14 M","585,99 M","591,27 M","578,58 M","561,61 M","591,43 M","594,56 M","537,75 M","568,11 M","536,01 M"
Ativo circulante,"926,13 M","941,43 M","902,41 M","866,12 M","845,08 M","809,75 M","709,01 M","664,14 M","504,03 M","631,47 M","463,34 M","583,10 M","506,03 M","455,02 M","386,34 M","354,77 M","344,79 M","318,82 M","317,12 M","308,88 M","301,40 M","243,33 M","263,61 M","254,85 M","211,82 M","193,91 M","200,42 M","209,17 M","166,59 M","180,72 M","179,69 M","174,53 M","158,10 M","171,25 M","177,93 M","180,19 M","162,76 M","178,94 M","158,60 M","142,13 M","146,60 M","164,71 M","224,17 M","244,23 M","238,68 M","233,99 M","278,89 M","258,19 M","278,74 M","355,61 M","336,59 M","346,36 M","319,32 M","324,65 M","296,94 M","319,43 M","307,75 M","290,39 M","324,52 M","341,84 M","283,65 M","313,69 M","285,28 M"
Caixa e eq. de caixa,"126,83 M","122,26 M","78,70 M","42,89 M","58,91 M","38,62 M","84,47 M","63,47 M","32,06 M","42,07 M","12,37 M","145,69 M","71,20 M","22,77 M","50,99 M","56,23 M","68,35 M","55,91 M","44,44 M","39,04 M","31,59 M","45,56 M","49,45 M","28,91 M","31,98 M","12,90 M","15,54 M","13,70 M","8,40 M","19,10 M","7,17 M","1,12 M","6,99 M","9,39 M","25,81 M","5,16 M","15,70 M","31,02 M","9,95 M","7,80 M","22,56 M","20,72 M","58,42 M","34,24 M","83,55 M","85,60 M","71,97 M","82,31 M","79,83 M","94,99 M","92,10 M","87,55 M","56,83 M","65,55 M","144,55 M","143,41 M","144,70 M","164,38 M","167,95 M","158,06 M","153,10 M","174,78 M","131,56 M"
Aplicações financeiras,"73,17 M","72,61 M","25,96 M","49,93 M","27,78 M","46,71 M","43,96 M","63,81 M","20,40 M","15,85 M","88,05 M","11,80 M","11,77 M","7,57 M","33,03 M","41,36 M","87,55 M","102,18 M","122,47 M","82,78 M","87,21 M","91,58 M","69,22 M","91,22 M","1,07 M","31,68 M","28,44 M","32,35 M","26,44 M","19,96 M","40,90 M","43,41 M","23,51 M","29,83 M","21,29 M","36,70 M","25,58 M","14,88 M","25,80 M","25,32 M","25,90 M","50,78 M","41,51 M","83,37 M","45,92 M","53,28 M","52,11 M","41,63 M","56,81 M","66,76 M","88,07 M","77,07 M","87,47 M","85,83 M","16,70 M","16,59 M","16,11 M","15,78 M","15,39 M","14,78 M","8,65 M","8,50 M","19,83 M"
Contas a receber,"248,25 M","209,98 M","303,75 M","279,73 M","247,72 M","196,60 M","164,75 M","150,50 M","170,38 M","255,00 M","128,12 M","107,47 M","83,03 M","110,84 M","122,75 M","119,16 M","64,11 M","58,37 M","64,75 M","78,76 M","74,44 M","42,80 M","56,63 M","51,63 M","45,09 M","36,59 M","53,73 M","66,25 M","57,29 M","54,97 M","47,58 M","52,48 M","43,82 M","41,23 M","71,34 M","92,64 M","79,64 M","60,24 M","74,60 M","61,18 M","53,23 M","45,77 M","69,81 M","74,06 M","59,31 M","53,19 M","86,26 M","76,86 M","66,28 M","149,82 M","90,74 M","123,81 M","123,82 M","129,07 M","52,03 M","76,08 M","85,89 M","72,12 M","83,86 M","105,02 M","79,21 M","67,32 M","102,45 M"
Estoques,"388,71 M","449,96 M","394,66 M","387,53 M","407,38 M","429,07 M","338,03 M","307,60 M","208,24 M","264,81 M","178,07 M","252,17 M","269,82 M","248,13 M","135,05 M","82,98 M","80,46 M","71,25 M","46,73 M","64,41 M","72,49 M","35,34 M","47,93 M","49,65 M","98,80 M","80,34 M","64,38 M","60,58 M","32,30 M","55,96 M","27,45 M","25,55 M","31,14 M","27,57 M","25,28 M","25,96 M","23,51 M","26,84 M","27,37 M","31,91 M","28,67 M","25,84 M","27,88 M","28,01 M","27,07 M","25,42 M","38,18 M","33,52 M","52,47 M","26,23 M","36,17 M","32,62 M","33,56 M","28,81 M","44,80 M","46,93 M","31,76 M","23,05 M","27,27 M","36,99 M","33,44 M","45,77 M","20,65 M"
Ativos biológicos,"24,37 M","23,50 M","23,45 M","25,64 M","27,27 M","24,99 M","20,74 M","20,91 M","21,28 M","18,01 M","17,60 M","20,07 M","18,76 M","16,51 M","20,44 M","23,06 M","20,91 M","18,30 M","23,54 M","26,00 M","17,95 M","14,08 M","21,44 M","18,10 M","14,19 M","11,81 M","13,24 M","12,63 M","12,20 M","11,35 M","12,34 M","11,24 M","11,79 M","12,62 M","11,92 M","10,74 M","12,77 M","12,30 M","12,94 M","6,42 M","7,51 M","8,56 M","12,11 M","11,14 M","12,07 M","6,51 M","12,34 M","11,01 M","10,27 M","11,09 M","11,06 M","11,34 M","10,66 M","10,57 M","10,86 M","10,43 M","11,01 M","10,25 M","9,96 M","10,34 M",0,"9,62 M","6,46 M"
Ativo não circulante,"650,53 M","641,78 M","631,46 M","626,34 M","581,24 M","502,06 M","439,30 M","414,80 M","378,99 M","377,24 M","362,26 M","361,12 M","361,54 M","356,54 M","352,31 M","347,18 M","347,09 M","349,28 M","334,13 M","331,99 M","327,66 M","326,04 M","314,75 M","323,42 M","323,15 M","321,56 M","326,01 M","321,94 M","327,69 M","326,12 M","307,81 M","305,52 M","306,20 M","302,59 M","337,92 M","336,06 M","337,72 M","306,63 M","337,31 M","362,54 M","360,67 M","354,22 M","339,06 M","331,79 M","332,19 M","345,59 M","342,96 M","341,80 M","341,05 M","333,41 M","332,14 M","333,89 M","335,20 M","333,48 M","289,05 M","271,84 M","270,82 M","271,22 M","266,90 M","252,71 M","254,10 M","254,42 M","250,73 M"
Investimentos,"3,39 M","3,58 M","1,95 M","1,93 M","2,56 M","2,53 M","2,50 M","2,38 M","2,01 M","1,99 M","1,96 M","2,02 M","2,00 M","2,10 M","2,08 M","2,06 M","2,01 M","1,99 M","714,00 Mil","713,00 Mil","665,00 Mil","674,00 Mil","680,00 Mil","681,00 Mil","737,00 Mil","733,00 Mil","739,00 Mil","859,00 Mil","870,00 Mil","853,00 Mil","863,00 Mil","866,00 Mil","871,00 Mil","1,05 M","664,00 Mil","691,00 Mil","840,00 Mil","959,00 Mil","957,00 Mil","949,00 Mil","811,00 Mil","815,00 Mil","381,00 Mil","372,00 Mil","278,00 Mil","291,00 Mil","297,00 Mil","295,00 Mil","293,00 Mil","120,00 Mil","77,37 M","81,76 M","83,32 M","5,60 M","36,90 M","35,55 M","33,71 M","32,85 M","32,33 M","32,23 M","32,20 M","32,20 M","32,21 M"
Imobilizado,"572,02 M","564,74 M","541,66 M","542,59 M","508,63 M","431,21 M","400,20 M","373,81 M","338,22 M","333,40 M","319,27 M","316,85 M","310,50 M","303,58 M","298,26 M","296,68 M","294,61 M","293,94 M","288,32 M","285,20 M","281,98 M","282,35 M","278,88 M","280,77 M","280,66 M","280,57 M","278,20 M","275,91 M","276,11 M","274,37 M","274,55 M","274,23 M","274,21 M","274,50 M","322,23 M","320,24 M","321,63 M","271,45 M","321,78 M","322,49 M","324,93 M","322,86 M","328,59 M","321,38 M","321,88 M","321,26 M","332,62 M","331,45 M","330,78 M","323,32 M","244,88 M","242,13 M","241,76 M","317,76 M","241,84 M","225,98 M","226,86 M","228,13 M","224,32 M","210,42 M","211,90 M","212,30 M","208,57 M"
