Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"8,92","7,79","6,40","6,21","11,29","15,09","9,22","11,51","-24,93",-,-,-,-,-,-,-,-
P/VP,"0,99","1,30","1,04","1,17","2,20","1,78","1,09","0,48","0,44",-,-,-,-,-,-,-,-
P/EBIT,"4,49","4,78","4,59","4,76","8,77","10,58","8,19","9,91","-20,46",-,-,-,-,-,-,-,-
P/EBIT *,"5,44","5,58","5,31","5,71","9,71","12,11","9,88","14,63","-21,42",-,-,-,-,-,-,-,-
PSR,"0,26","0,32","0,31","0,37","0,64","0,83","0,42","0,24","0,34",-,-,-,-,-,-,-,-
P/Ativos,"0,49","0,77","0,73","0,90","1,79","1,44","0,89","0,36","0,35",-,-,-,-,-,-,-,-
LPA,"2,37","3,55","3,15","3,22","2,90","1,49","1,37","0,44","-0,18",-,-,-,-,-,-,-,-
VPA,"21,38","21,23","19,28","17,08","14,88","12,68","11,54","10,66","10,29",-,-,-,-,-,-,-,-
EBIT por ação,"4,72","5,80","4,39","4,20","3,74","2,13","1,54","0,51","-0,22",-,-,-,-,-,-,-,-
EBIT por ação *,"3,89","4,96","3,79","3,51","3,38","1,86","1,28","0,35","-0,21",-,-,-,-,-,-,-,-
Ativo por ação,"43,48","36,02","27,70","22,29","18,35","15,64","14,16","13,92","13,01",-,-,-,-,-,-,-,-
Receita líquida por ação,"82,71","85,78","65,35","54,22","51,04","27,22","29,76","20,80","13,45",-,-,-,-,-,-,-,-
Margem bruta,"12,76%","11,92%","12,32%","13,34%","12,94%","15,57%","12,71%","12,79%","21,24%","22,10%","20,68%","15,96%","13,62%","15,67%","15,41%","14,07%","15,80%"
Margem líquida,"2,88%","4,14%","4,82%","5,94%","5,69%","5,49%","4,59%","2,12%","-1,37%","-4,51%","0,79%","1,41%","1,71%","4,26%","4,06%","5,61%","4,39%"
Margem EBIT,"5,71%","6,76%","6,72%","7,75%","7,32%","7,83%","5,17%","2,46%","-1,66%","-6,23%","-0,99%","1,56%","3,15%","7,27%","4,74%","7,31%","3,42%"
Margem EBIT *,"4,70%","5,78%","5,80%","6,47%","6,61%","6,84%","4,29%","1,67%","-1,59%","-8,00%","-3,46%","1,26%","3,02%","1,50%","4,63%","5,33%","2,78%"
Margem EBITDA,"5,95%","6,95%","6,92%","7,95%","7,54%","8,21%","5,70%","2,90%","-0,95%","-5,13%","-0,20%","1,98%","3,36%","7,54%","4,91%","7,47%","3,72%"
Margem EBITDA *,"4,95%","5,97%","6,01%","6,67%","6,83%","7,22%","4,81%","2,10%","-0,88%","-6,90%","-2,67%","1,68%","3,23%","1,77%","4,81%","5,49%","3,08%"
Margem operacional,"4,25%","6,10%","6,58%","8,38%","7,81%","7,81%","5,41%","3,09%","-1,04%","-4,11%","1,27%","2,20%","3,37%","8,41%","6,26%","7,87%","6,07%"
ROE,"11,21%","16,73%","16,31%","18,84%","19,49%","11,78%","11,84%","4,13%","-1,79%","-5,01%","0,89%","2,52%","4,04%","7,02%","8,20%","12,64%","6,31%"
ROA,"0,05","0,10","0,11","0,14","0,16","0,10","0,10","0,03","-0,01","-0,04","0,01","0,02","0,03","0,05","0,07","0,10","0,05"
ROIC,"13,37%","17,66%","17,89%","20,18%","27,38%","18,28%","12,09%","4,32%","-1,94%","-6,47%","-1,12%","3,22%","8,53%","13,90%","12,80%","20,35%","6,28%"
