Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"9,71 B","9,92 B","9,71 B","9,55 B","9,84 B","9,94 B","9,46 B","9,40 B","9,60 B","9,29 B","9,80 B","9,72 B","9,57 B","9,05 B","9,93 B","9,88 B","10,06 B","9,90 B","9,93 B","9,64 B","9,64 B","9,27 B","9,41 B","9,29 B","7,64 B","5,51 B","5,74 B","5,56 B","5,65 B","4,10 B","4,20 B","4,24 B","4,29 B","4,02 B","4,39 B","4,43 B","4,31 B","4,14 B","4,28 B","4,17 B","4,27 B","4,28 B","4,32 B","3,87 B","3,82 B","3,51 B","3,17 B","2,36 B","2,32 B","2,14 B","2,10 B","1,97 B","1,92 B","1,24 B","1,24 B","1,15 B","1,14 B","1,07 B","900,47 M","874,09 M","839,41 M","804,54 M","688,33 M"
Ativo circulante,"2,36 B","2,77 B","2,42 B","2,24 B","2,41 B","2,52 B","2,28 B","2,17 B","2,30 B","2,11 B","2,56 B","2,58 B","2,42 B","2,10 B","2,87 B","2,74 B","2,87 B","2,97 B","3,01 B","3,08 B","3,07 B","2,74 B","2,99 B","3,05 B","3,33 B","1,48 B","1,66 B","1,62 B","1,75 B","1,55 B","1,63 B","1,71 B","1,81 B","1,66 B","2,01 B","1,72 B","1,62 B","1,45 B","1,70 B","1,60 B","1,57 B","1,59 B","2,15 B","1,79 B","1,77 B","1,48 B","1,21 B","1,46 B","1,43 B","1,27 B","1,28 B","1,19 B","1,19 B","511,23 M","542,74 M","520,48 M","545,14 M","492,24 M","355,18 M","351,64 M","378,56 M","390,43 M","350,48 M"
Caixa e eq. de caixa,"571,42 M","982,31 M","625,15 M","490,76 M","586,43 M","677,47 M","546,30 M","427,00 M","623,45 M","501,97 M","887,08 M","813,76 M","637,13 M","401,05 M","894,36 M","705,39 M","625,40 M","905,46 M","1,06 B","1,21 B","1,28 B","28,41 M","25,18 M","20,41 M","10,39 M","12,25 M","10,07 M","19,44 M","8,70 M","13,69 M","8,61 M","9,00 M","9,38 M","14,00 M","9,83 M","61,25 M","67,93 M","58,34 M","71,26 M","82,25 M","63,66 M","48,41 M","11,59 M","16,16 M","21,44 M","48,01 M","25,70 M","19,40 M","10,44 M","7,13 M","9,90 M","6,84 M","18,39 M","18,13 M","11,76 M","17,93 M","6,69 M","21,86 M","53,68 M","61,52 M","38,82 M","44,73 M","51,30 M"
Aplicações financeiras,"509,78 M","495,77 M","430,82 M","302,12 M","345,75 M","369,44 M","328,65 M","234,72 M","201,02 M","196,38 M","294,56 M","340,33 M","490,64 M","384,78 M","689,18 M","762,00 M","1,08 B","908,78 M","840,49 M","755,08 M","771,81 M","1,60 B","1,90 B","1,89 B","2,54 B","596,86 M","855,70 M","698,84 M","877,09 M","804,36 M","761,98 M","391,95 M","617,75 M","510,45 M","699,70 M","481,06 M","390,15 M","345,67 M","504,16 M","305,66 M","298,61 M","645,35 M","709,62 M","477,76 M","699,65 M","667,07 M","409,19 M","768,03 M","747,65 M","732,05 M","796,17 M","735,07 M","729,10 M","122,34 M","172,01 M","149,73 M","176,03 M","147,56 M","8,67 M","6,67 M","89,35 M","120,69 M","149,73 M"
Contas a receber,"993,68 M","1,05 B","1,10 B","1,19 B","1,16 B","1,24 B","1,16 B","1,27 B","1,24 B","1,21 B","1,18 B","1,19 B","1,07 B","1,06 B","1,05 B","1,03 B","971,33 M","957,75 M","939,94 M","964,78 M","863,15 M","890,15 M","873,30 M","955,83 M","641,71 M","759,62 M","714,60 M","813,10 M","712,99 M","571,85 M","704,05 M","1,10 B","1,06 B","991,40 M","1,13 B","1,01 B","971,06 M","847,28 M","912,49 M","1,02 B","990,50 M","648,29 M","1,05 B","982,82 M","723,65 M","451,41 M","533,03 M","423,74 M","435,17 M","334,63 M","355,06 M","345,94 M","347,37 M","279,66 M","264,47 M","352,82 M","362,42 M","244,07 M","292,83 M","283,45 M","250,39 M","156,42 M","149,45 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"7,35 B","7,15 B","7,30 B","7,30 B","7,43 B","7,42 B","7,18 B","7,22 B","7,30 B","7,18 B","7,24 B","7,15 B","7,15 B","6,95 B","7,06 B","7,14 B","7,18 B","6,92 B","6,92 B","6,57 B","6,57 B","6,53 B","6,42 B","6,25 B","4,30 B","4,04 B","4,08 B","3,95 B","3,90 B","2,55 B","2,57 B","2,53 B","2,48 B","2,36 B","2,38 B","2,70 B","2,69 B","2,69 B","2,58 B","2,57 B","2,71 B","2,69 B","2,17 B","2,08 B","2,05 B","2,04 B","1,96 B","904,74 M","897,44 M","868,65 M","813,48 M","776,59 M","730,36 M","728,58 M","696,46 M","630,52 M","591,85 M","576,48 M","545,29 M","522,45 M","460,85 M","414,11 M","337,85 M"
Investimentos,"489,00 Mil","489,00 Mil","489,00 Mil","489,00 Mil","489,00 Mil","444,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","338,00 Mil","231,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","229,00 Mil","229,00 Mil","229,00 Mil","229,00 Mil","228,00 Mil","228,00 Mil","228,00 Mil","7,73 M","228,00 Mil"
Imobilizado,"2,32 B","2,40 B","2,41 B","2,46 B","2,48 B","2,52 B","2,45 B","2,50 B","2,56 B","2,56 B","2,60 B","2,58 B","2,54 B","2,51 B","2,60 B","2,67 B","2,66 B","2,53 B","2,52 B","2,50 B","2,51 B","2,45 B","2,37 B","2,34 B","1,76 B","1,73 B","1,90 B","1,86 B","1,88 B","661,11 M","605,42 M","601,02 M","600,37 M","602,42 M","603,24 M","602,02 M","611,99 M","620,06 M","529,78 M","521,62 M","529,82 M","535,92 M","506,14 M","502,20 M","486,99 M","465,71 M","453,97 M","351,19 M","347,11 M","335,61 M","307,94 M","297,35 M","289,17 M","294,66 M","279,81 M","275,86 M","269,20 M","263,80 M","250,83 M","243,46 M","228,28 M","210,96 M","192,02 M"
