Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,3T2010,2T2010,1T2010
Receita líquida,"1,51 B","1,30 B","1,35 B","1,38 B","1,49 B","1,27 B","1,31 B","1,32 B","1,46 B","1,23 B","1,30 B","1,31 B","1,31 B","1,10 B","1,14 B","1,13 B","1,19 B","1,05 B","1,10 B","1,16 B","1,08 B","963,03 M","976,34 M","991,10 M","923,27 M","842,04 M","833,14 M","957,23 M","932,63 M","867,02 M","852,88 M","963,75 M","935,73 M","838,46 M","808,07 M","913,43 M","819,02 M","796,87 M","763,06 M","831,67 M","792,91 M","736,64 M","709,00 M","779,25 M","722,32 M","652,38 M","624,76 M","589,13 M","538,21 M","436,01 M","438,19 M","443,56 M","413,25 M","361,67 M","349,65 M","341,42 M","330,55 M","294,43 M","288,30 M","289,88 M","275,82 M","252,46 M","249,50 M","258,17 M","256,02 M"
Custos,"-536,86 M","-542,59 M","-540,12 M","-579,86 M","-518,47 M","-518,91 M","-501,96 M","-562,92 M","-502,88 M","-540,27 M","-507,17 M","-550,34 M","-479,51 M","-506,66 M","-478,51 M","-531,60 M","-465,70 M","-542,94 M","-501,27 M","-501,21 M","-456,83 M","-517,83 M","-434,17 M","-444,00 M","-348,91 M","-393,35 M","-369,42 M","-397,88 M","-360,07 M","-456,20 M","-365,58 M","-427,64 M","-383,39 M","-490,57 M","-401,57 M","-466,09 M","-418,88 M","-485,52 M","-392,08 M","-494,49 M","-436,95 M","-426,83 M","-382,38 M","-448,21 M","-403,26 M","-374,83 M","-343,54 M","-348,75 M","-308,72 M","-273,29 M","-250,14 M","-270,50 M","-242,61 M","-239,62 M","-211,67 M","-226,51 M","-199,57 M","-194,27 M","-187,91 M","-203,35 M","-180,01 M","-172,99 M","-164,77 M","-186,01 M","-168,49 M"
Lucro bruto,"971,94 M","762,13 M","811,52 M","798,40 M","968,66 M","747,37 M","803,62 M","752,68 M","961,45 M","689,41 M","789,42 M","757,62 M","833,82 M","594,96 M","656,98 M","603,26 M","727,27 M","507,40 M","596,79 M","659,44 M","625,49 M","445,20 M","542,16 M","547,10 M","574,36 M","448,69 M","463,72 M","559,35 M","572,56 M","410,82 M","487,30 M","536,11 M","552,34 M","347,89 M","406,50 M","447,34 M","400,14 M","311,35 M","370,97 M","337,18 M","355,96 M","309,81 M","326,62 M","331,04 M","319,06 M","277,55 M","281,21 M","240,38 M","229,49 M","162,72 M","188,05 M","173,06 M","170,64 M","122,05 M","137,98 M","114,91 M","130,99 M","100,16 M","100,39 M","86,54 M","95,81 M","79,47 M","84,73 M","72,17 M","87,53 M"
Despesas operacionais,"-740,88 M","-599,45 M","-554,45 M","-626,64 M","-672,83 M","-581,23 M","-553,24 M","-549,61 M","-663,54 M","-665,52 M","-531,02 M","-544,61 M","-524,56 M","-520,57 M","-459,41 M","-477,36 M","-507,71 M","-479,38 M","-431,24 M","-465,13 M","-466,78 M","-508,93 M","-356,32 M","-557,41 M","-329,78 M","-291,89 M","-260,17 M","-310,68 M","-281,56 M","-373,69 M","-260,11 M","-309,99 M","-270,77 M","-347,91 M","-231,53 M","-247,25 M","-231,67 M","-149,63 M","-221,41 M","-338,92 M","-206,90 M","-253,97 M","-196,42 M","-201,59 M","-162,27 M","-184,18 M","-144,30 M","-155,94 M","-119,56 M","-115,88 M","-103,98 M","-124,45 M","-101,62 M","-93,11 M","-85,29 M","-94,20 M","-84,64 M","-90,20 M","-70,52 M","-74,18 M","-67,19 M","-70,35 M","-62,68 M","-68,11 M","-64,33 M"
Despesas com vendas,"-331,35 M","-245,82 M","-197,37 M","-268,52 M","-332,65 M","-240,46 M","-223,86 M","-260,53 M","-330,12 M","-260,79 M","-206,10 M","-230,68 M","-257,52 M","-244,58 M","-190,94 M","-244,84 M","-270,64 M","-220,25 M","-191,56 M","-231,55 M","-251,64 M","-221,51 M","-160,75 M","-297,99 M","-179,55 M","-134,85 M","-104,64 M","-175,82 M","-156,33 M","-157,36 M","-118,39 M","-153,12 M","-124,17 M","-118,88 M","-97,46 M","-115,58 M","-111,64 M","-28,03 M","-76,07 M","-181,81 M","-90,38 M","-139,70 M","-89,57 M","-99,92 M","-53,76 M","-63,03 M","-45,95 M","-80,75 M","-48,60 M","-43,99 M","-40,85 M","-56,09 M","-42,94 M","-38,06 M","-33,94 M","-48,44 M","-37,34 M","-31,08 M","-21,99 M","-31,82 M","-28,95 M","-26,19 M","-19,14 M","-25,66 M","-24,44 M"
Despesas administrativas,"-344,43 M","-315,38 M","-361,13 M","-362,81 M","-342,22 M","-359,02 M","-338,79 M","-303,93 M","-340,94 M","-373,45 M","-326,18 M","-319,61 M","-292,18 M","-285,88 M","-273,02 M","-241,29 M","-240,92 M","-268,39 M","-247,08 M","-236,78 M","-220,94 M","-289,88 M","-194,52 M","-256,37 M","-154,28 M","-161,19 M","-159,24 M","-137,64 M","-128,99 M","-176,44 M","-137,84 M","-151,24 M","-148,78 M","-203,20 M","-138,29 M","-129,91 M","-126,92 M","-123,96 M","-148,75 M","-145,44 M","-120,71 M","-128,54 M","-113,49 M","-106,69 M","-110,17 M","-125,66 M","-103,98 M","-80,06 M","-74,18 M","-76,31 M","-67,52 M","-71,86 M","-62,18 M","-63,23 M","-54,39 M","-49,90 M","-49,77 M","-62,60 M","-49,67 M","-44,47 M","-40,15 M","-46,46 M","-46,58 M","-44,77 M","-41,54 M"
EBIT,"231,06 M","162,69 M","257,07 M","171,76 M","295,83 M","166,14 M","250,38 M","203,07 M","297,91 M","23,89 M","258,40 M","213,01 M","309,26 M","74,39 M","197,56 M","125,90 M","219,56 M","28,02 M","165,54 M","194,31 M","158,72 M","-63,73 M","185,85 M","-10,32 M","244,58 M","156,80 M","203,55 M","248,67 M","291,00 M","37,13 M","227,19 M","226,12 M","281,57 M","-21,00 Mil","174,97 M","200,09 M","168,47 M","161,71 M","149,56 M","-1,74 M","149,07 M","55,84 M","130,19 M","129,45 M","156,79 M","93,37 M","136,91 M","84,44 M","109,92 M","46,84 M","84,07 M","48,62 M","69,02 M","28,95 M","52,69 M","20,71 M","46,34 M","9,96 M","29,87 M","12,36 M","28,62 M","9,12 M","22,04 M","4,06 M","23,20 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-180,18 M","-199,55 M","-172,54 M","-187,91 M","-187,74 M","-162,33 M","-108,92 M","-183,86 M","-160,13 M","-173,82 M","-172,80 M","-175,88 M","-171,80 M","-177,55 M","-193,82 M","-188,99 M","-144,27 M","-150,17 M","-103,09 M","-77,24 M","-105,45 M","-106,47 M","-86,90 M","-87,66 M","-70,39 M","-96,20 M","-53,03 M","-48,60 M","-44,26 M","-24,03 M","-38,60 M","-30,05 M","-26,15 M","-8,90 M","-42,25 M","-22,74 M","-37,56 M","-24,47 M","-32,81 M","-16,62 M","-11,91 M","826,00 Mil","-12,22 M","-7,72 M","-12,55 M","-12,15 M","-9,79 M","4,84 M","25,36 M","3,73 M","5,81 M","326,00 Mil","-1,68 M","-12,02 M","-10,62 M","-7,07 M","-4,05 M","-2,84 M","-2,31 M","-2,08 M","1,63 M","3,58 M","3,84 M","4,00 M","2,91 M"
Antes dos impostos,"50,88 M","-36,86 M","84,53 M","-16,16 M","108,09 M","3,81 M","141,45 M","19,22 M","137,78 M","-149,93 M","85,61 M","37,13 M","137,46 M","-103,17 M","3,75 M","-63,09 M","75,29 M","-122,15 M","62,45 M","117,07 M","53,26 M","-170,19 M","98,94 M","-97,97 M","174,19 M","60,60 M","150,52 M","200,06 M","246,75 M","13,10 M","188,60 M","196,06 M","255,42 M","-8,92 M","132,72 M","177,35 M","130,91 M","137,25 M","116,75 M","-18,36 M","137,15 M","56,66 M","117,98 M","121,73 M","144,24 M","81,21 M","127,12 M","89,28 M","135,28 M","50,57 M","89,88 M","48,94 M","67,34 M","16,92 M","42,07 M","13,65 M","42,29 M","7,12 M","27,57 M","10,28 M","30,26 M","12,70 M","25,88 M","8,06 M","26,11 M"
